setting,seed,method,onmi,modularity,f1,acc_all,acc_clean,acc_bad,auroc_agree,dprime,ovl,agree_mean,agree_sd,agree_gt08,alpha_mean,conf_mean,n_both,n_bad,eff_rank,n_comp,cv_corr,train_corr,cv_cos,train_cos,cv_cos_sd,cv_cos_gt08,note,error,secs
mis~B|fakeddit_real_lcc|q0.4,4,nf|r8|c8,0.1550975694182979,0.6941707845222475,0.325735406453782,0.3952702702702703,0.37941176470588234,0.4105691056910569,0.5415351506456242,0.09864013674630233,0.8237207077953133,0.5772582912232325,0.25146578947449555,0.189419795221843,0.43264971666623264,0.40378530952318953,586,246,73,8,,,,,,,,,0.3
mis~B|fakeddit_real_lcc|q0.4,4,nf|r8|c16,0.16614876634862608,0.75230965616365,0.3085213716319534,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.5631635581061692,0.1802414300153854,0.8032998565279771,0.54332672444381,0.20716250741852865,0.07337883959044368,0.4033352689766729,0.3619075271095328,586,246,73,16,,,,,,,,,0.36
mis~B|fakeddit_real_lcc|q0.4,4,nf|r16|c4,0.1950089240524735,0.7424474577788123,0.33348650632494997,0.3902027027027027,0.38529411764705884,0.3902439024390244,0.6142635102821616,0.41449709803507245,0.7543280726924917,0.41789433248998464,0.4377522583657568,0.22696245733788395,0.3974275644234126,0.3534679491763038,586,246,36,4,,,,,,,,,0.25
mis~B|fakeddit_real_lcc|q0.4,4,nf|r16|c8,0.1828124943741959,0.7276846588409892,0.32656562554076646,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6425394548063128,0.5139160491431073,0.736441893830703,0.4056889086903773,0.3112232630629693,0.07508532423208192,0.3550418185480887,0.2929168836401267,586,246,36,8,,,,,,,,,0.27
mis~B|fakeddit_real_lcc|q0.4,4,nf|r16|c16,0.17825631840641465,0.7208506433443573,0.3284119478018254,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6605930176948828,0.5699454874129262,0.7046867527498804,0.3518722784611392,0.23655614333631725,0.020477815699658702,0.3122927229852875,0.23184674712183934,586,246,36,16,,,,,,,,,0.25
mis~B|fakeddit_real_lcc|q0.4,4,nf|r32|c4,0.1914422571344382,0.7144955815362105,0.348199144687805,0.3918918918918919,0.38823529411764707,0.3902439024390244,0.6419894787183167,0.5057665357307222,0.7425872788139646,0.2821047690378641,0.4897754311382196,0.1689419795221843,0.3576039528731284,0.2965770755330405,586,246,18,4,,,,,,,,,0.2
mis~B|fakeddit_real_lcc|q0.4,4,nf|r32|c8,0.19394431406933665,0.7102902496896181,0.34607226455633033,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.642754662840746,0.5093133494091934,0.7059780009564801,0.266553266163912,0.349150523440242,0.05631399317406143,0.311517038744615,0.23073862677802146,586,246,18,8,,,,,,,,,0.22
mis~B|fakeddit_real_lcc|q0.4,4,nf|r32|c16,0.2330468807055388,0.8012102004706497,0.4193768270093803,0.38344594594594594,0.34411764705882353,0.43089430894308944,0.6494619799139167,0.5352664506183817,0.7466762314681971,0.18815294721803044,0.25850826338185,0.0,0.2657713561767501,0.16538765168107153,586,246,18,16,,,,,,,,,0.23
mis~B|fakeddit_real_lcc|q0.4,4,nf|r64|c4,0.191822736030143,0.7255237239888697,0.3372469279661503,0.3918918918918919,0.38823529411764707,0.3902439024390244,0.6842659014825443,0.6785128177274237,0.6754662840746055,0.22379593475848547,0.5005974567162774,0.1416382252559727,0.34285344821474456,0.27550492602106363,586,246,9,4,,,,,,,,,0.2
mis~B|fakeddit_real_lcc|q0.4,4,nf|r64|c8,0.19541614487565817,0.7242671963676659,0.33842849159841454,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6889406982305117,0.7027242933150329,0.6889526542324247,0.16002291090743095,0.37294772397179277,0.025597269624573378,0.28664783177402714,0.19521118824861022,586,246,9,8,,,,,,,,,0.22
mis~B|fakeddit_real_lcc|q0.4,4,nf|r64|c16,,,,,,,,,,,,,,,,,9,,,,,,,,skip:eff_rank<common_dim,,0.0
mis~B|fakeddit_real_lcc|q0.4,4,rob|r4|c8,0.2063322949377,0.7039318998698798,0.40288992465854495,0.46283783783783783,0.4588235294117647,0.46747967479674796,0.5307986609277857,0.042084308748381004,0.8604256336681013,0.7926821239922727,0.17460061496517654,0.6348122866894198,0.5653443068252731,0.5933490097503903,586,246,146,8,,,,,,,,,0.58
mis~B|fakeddit_real_lcc|q0.4,4,rob|r16|c8,0.20043669253901863,0.7271235223521418,0.3436699898640816,0.3902027027027027,0.38529411764705884,0.3902439024390244,0.6425394548063128,0.5139160491431073,0.736441893830703,0.4056889086903773,0.3112232630629693,0.07508532423208192,0.3550418185480887,0.2929168836401267,586,246,36,8,,,,,,,,,0.28
mis~B|fakeddit_real_lcc|q0.4,4,rob|r64|c8,0.20436378397922816,0.7380266970450955,0.34177080942367066,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6889406982305117,0.7027242933150329,0.6889526542324247,0.16002291090743095,0.37294772397179277,0.025597269624573378,0.28664783177402714,0.19521118824861022,586,246,9,8,,,,,,,,,0.24
mis~B|fakeddit_real_lcc|q0.4,4,ac_self|r2,0.0031183377011464453,0.11100233272762794,0.1676854523605732,0.3327702702702703,0.32941176470588235,0.3252032520325203,0.6018292682926829,0.13777896083819463,0.8929459588713534,0.9961030930860364,0.00959613758358272,1.0,0.6750377694267203,0.7500539563238863,586,246,293,8,,,,,,,alpha=0.675,,1.53
mis~B|fakeddit_real_lcc|q0.4,4,ac_self|r4,0.11277903574374248,0.4661825209513673,0.17343387515927514,0.42905405405405406,0.4176470588235294,0.45121951219512196,0.5307986609277857,0.042084308748381004,0.8604256336681013,0.7926821239922727,0.17460061496517654,0.6348122866894198,0.5653443068252731,0.5933490097503903,586,246,146,8,,,,,,,alpha=0.565,,0.56
mis~B|fakeddit_real_lcc|q0.4,4,ac_self|r16,0.1952570023493183,0.7170262836067869,0.3404681600243582,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6425394548063128,0.5139160491431073,0.736441893830703,0.4056889086903773,0.3112232630629693,0.07508532423208192,0.3550418185480888,0.2929168836401267,586,246,36,8,,,,,,,alpha=0.355,,0.3
mis~B|fakeddit_real_lcc|q0.4,4,ac_self|r64,0.21292139745218785,0.7679716796332668,0.3825879485238708,0.3935810810810811,0.3911764705882353,0.3902439024390244,0.6889406982305117,0.7027242933150329,0.6889526542324247,0.16002291090743095,0.37294772397179277,0.025597269624573378,0.2866478317740272,0.19521118824861022,586,246,9,8,,,,,,,alpha=0.287,,0.27
mis~B|fakeddit_real_lcc|q0.4,4,ac_fixed|r2,0.05432000864256159,0.3239490625908102,0.187802477615964,0.3969594594594595,0.37941176470588234,0.4186991869918699,0.6018292682926829,0.13777896083819463,0.8929459588713534,0.9961030930860364,0.00959613758358272,1.0,0.5653443068252731,0.7500539563238863,586,246,293,8,,,,,,,alpha=0.565,,1.36
mis~B|fakeddit_real_lcc|q0.4,4,ac_fixed|r4,0.11277903574374248,0.4661825209513673,0.17343387515927514,0.42905405405405406,0.4176470588235294,0.45121951219512196,0.5307986609277857,0.042084308748381004,0.8604256336681013,0.7926821239922727,0.17460061496517654,0.6348122866894198,0.5653443068252731,0.5933490097503903,586,246,146,8,,,,,,,alpha=0.565,,0.02
mis~B|fakeddit_real_lcc|q0.4,4,ac_fixed|r16,0.10973200442694142,0.5096881961118424,0.31186010417625853,0.49155405405405406,0.49117647058823527,0.491869918699187,0.6425394548063128,0.5139160491431073,0.736441893830703,0.4056889086903773,0.3112232630629693,0.07508532423208192,0.5653443068252731,0.2929168836401267,586,246,36,8,,,,,,,alpha=0.565,,0.3
mis~B|fakeddit_real_lcc|q0.4,4,ac_fixed|r64,0.2402673903402488,0.649625456420024,0.43815931260304725,0.4239864864864865,0.4176470588235294,0.43089430894308944,0.6889406982305117,0.7027242933150329,0.6889526542324247,0.16002291090743095,0.37294772397179277,0.025597269624573378,0.5653443068252731,0.19521118824861022,586,246,9,8,,,,,,,alpha=0.565,,0.22
mis~B|fakeddit_real_lcc|q0.4,4,ref:alpha05,0.1114491620445216,0.5541981081317645,0.3229568527771733,0.4814189189189189,0.4647058823529412,0.5040650406504065,,,,,,,,,,,,,,,,,,,,,0.61
mis~B|fakeddit_real_lcc|q0.4,4,ref:concat05,0.1728471460686658,0.5929075246390122,0.3331181928113978,0.48817567567567566,0.4764705882352941,0.5040650406504065,,,,,,,,,,,,,,,,,,,,,0.64
