exp,dataset,variant,seed,cond,metric,value
B,crisismmd,default,1,alpha,spearman_flip,0.1604794651713145
B,crisismmd,default,1,normshare,auc_flip,0.6264490655435642
B,crisismmd,default,1,normshare,spearman_flip,0.1687412456310381
B,crisismmd,default,1,structure_sensitivity_neg,auc_flip,0.8300078968149514
B,crisismmd,default,1,structure_sensitivity_neg,spearman_flip,0.4403824048620518
B,crisismmd,default,1,intervention_flip,agreement,0.8475
B,crisismmd,default,1,intervention_flip,precision,0.96
B,crisismmd,default,1,intervention_flip,recall,0.16551724137931034
B,crisismmd,default,1,all,mean_content_sensitivity,0.1881420861597265
B,crisismmd,default,1,all,mean_structure_sensitivity,0.12403069737288376
_,crisismmd,default,1,core|crisismmd|default|1,_done,3.67
A,crisismmd,default,0,nbr,n_rules,6.0
A,crisismmd,default,0,nbr,coverage,0.945
A,crisismmd,default,0,nbr,fidelity,0.885
A,crisismmd,default,0,nbr,precision_covered,0.9365079365079365
A,crisismmd,default,0,nbr,majority,0.25875
A,crisismmd,default,0,nbr,fidelity_with_fallback,0.92875
A,crisismmd,default,0,old,fidelity,0.3
A,crisismmd,default,0,old,n_rules,5.0
A,crisismmd,default,0,curve|r1,fidelity,0.25875
A,crisismmd,default,0,curve|r1,coverage,0.30125
A,crisismmd,default,0,curve|r2,fidelity,0.5
A,crisismmd,default,0,curve|r2,coverage,0.5675
A,crisismmd,default,0,curve|r3,fidelity,0.74125
A,crisismmd,default,0,curve|r3,coverage,0.82
A,crisismmd,default,0,curve|r4,fidelity,0.8375
A,crisismmd,default,0,curve|r4,coverage,0.905
A,crisismmd,default,0,curve|r5,fidelity,0.88
A,crisismmd,default,0,curve|r5,coverage,0.9425
A,crisismmd,default,0,curve|r6,fidelity,0.885
A,crisismmd,default,0,curve|r6,coverage,0.945
A,crisismmd,default,0,tree|L2,train,0.5
A,crisismmd,default,0,tree|L2,cv,0.47625
A,crisismmd,default,0,tree|L3,train,0.73875
A,crisismmd,default,0,tree|L3,cv,0.7375
A,crisismmd,default,0,tree|L4,train,0.84625
A,crisismmd,default,0,tree|L4,cv,0.845
A,crisismmd,default,0,tree|L6,train,0.94125
A,crisismmd,default,0,tree|L6,cv,0.9325000000000001
A,crisismmd,default,0,tree|L8,train,0.95
A,crisismmd,default,0,tree|L8,cv,0.9324999999999999
A,crisismmd,default,0,tree|L12,train,0.96125
A,crisismmd,default,0,tree|L12,cv,0.93625
A,crisismmd,default,0,tree|L16,train,0.96625
A,crisismmd,default,0,tree|L16,cv,0.93625
A,crisismmd,default,0,tree|L24,train,0.97625
A,crisismmd,default,0,tree|L24,cv,0.9349999999999999
B,crisismmd,default,0,all,n_with_content,800
B,crisismmd,default,0,all,n_nodes,800
B,crisismmd,default,0,all,refit_fallback,0
B,crisismmd,default,0,all,flip_rate_refit,0.17625
B,crisismmd,default,0,all,flip_rate_seed_noise,0.15
B,crisismmd,default,0,content_sensitivity,auc_flip,0.20101378620088464
B,crisismmd,default,0,content_sensitivity,spearman_flip,-0.394642998732355
B,crisismmd,default,0,content_flip_margin,auc_flip,0.8522907048074129
B,crisismmd,default,0,content_flip_margin,spearman_flip,0.4650015745011707
B,crisismmd,default,0,alpha,auc_flip,0.55377264068705
B,crisismmd,default,0,alpha,spearman_flip,0.0709765039024607
B,crisismmd,default,0,normshare,auc_flip,0.5523520485584219
B,crisismmd,default,0,normshare,spearman_flip,0.0691014116348484
B,crisismmd,default,0,structure_sensitivity_neg,auc_flip,0.8212959674555257
B,crisismmd,default,0,structure_sensitivity_neg,spearman_flip,0.4240904704805389
B,crisismmd,default,0,intervention_flip,agreement,0.8275
B,crisismmd,default,0,intervention_flip,precision,0.5230769230769231
B,crisismmd,default,0,intervention_flip,recall,0.24113475177304963
B,crisismmd,default,0,all,mean_content_sensitivity,0.31596515094824257
B,crisismmd,default,0,all,mean_structure_sensitivity,0.21353452024444933
_,crisismmd,default,0,core|crisismmd|default|0,_done,3.73
A,crisismmd,default,4,nbr,n_rules,4.0
A,crisismmd,default,4,nbr,coverage,0.9675
A,crisismmd,default,4,nbr,fidelity,0.92375
A,crisismmd,default,4,nbr,precision_covered,0.9547803617571059
A,crisismmd,default,4,nbr,majority,0.26125
A,crisismmd,default,4,nbr,fidelity_with_fallback,0.94875
A,crisismmd,default,4,old,fidelity,0.315
A,crisismmd,default,4,old,n_rules,5.0
A,crisismmd,default,4,curve|r1,fidelity,0.26125
A,crisismmd,default,4,curve|r1,coverage,0.30125
A,crisismmd,default,4,curve|r2,fidelity,0.50875
A,crisismmd,default,4,curve|r2,coverage,0.57
A,crisismmd,default,4,curve|r3,fidelity,0.75
A,crisismmd,default,4,curve|r3,coverage,0.835
A,crisismmd,default,4,curve|r4,fidelity,0.92375
A,crisismmd,default,4,curve|r4,coverage,0.9675
A,crisismmd,default,4,tree|L2,train,0.51875
A,crisismmd,default,4,tree|L2,cv,0.485
A,crisismmd,default,4,tree|L3,train,0.76
A,crisismmd,default,4,tree|L3,cv,0.755
A,crisismmd,default,4,tree|L4,train,0.96875
A,crisismmd,default,4,tree|L4,cv,0.9674999999999999
A,crisismmd,default,4,tree|L6,train,0.97375
A,crisismmd,default,4,tree|L6,cv,0.96875
A,crisismmd,default,4,tree|L8,train,0.9775
A,crisismmd,default,4,tree|L8,cv,0.96875
A,crisismmd,default,4,tree|L12,train,0.98125
A,crisismmd,default,4,tree|L12,cv,0.9675
A,crisismmd,default,4,tree|L16,train,0.98375
A,crisismmd,default,4,tree|L16,cv,0.9637500000000001
A,crisismmd,default,4,tree|L24,train,0.9875
A,crisismmd,default,4,tree|L24,cv,0.9574999999999999
B,crisismmd,default,4,all,n_with_content,800
B,crisismmd,default,4,all,n_nodes,800
B,crisismmd,default,4,all,refit_fallback,0
B,crisismmd,default,4,all,flip_rate_refit,0.17875
B,crisismmd,default,4,all,flip_rate_seed_noise,0.1475
B,crisismmd,default,4,content_sensitivity,auc_flip,0.16181839469510703
