part,dataset,method,seed,threshold,precision,recall,f1
A,r0.3,nfmcd_robust,1,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_robust,1,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_default,0,0.05,0.27710843373493976,0.5822784810126582,0.37551020408163266
A,r0.3,nfmcd_default,0,0.1,0.2978723404255319,0.17721518987341772,0.2222222222222222
A,r0.3,nfmcd_default,0,0.15,0.45454545454545453,0.06329113924050633,0.11111111111111112
A,r0.3,nfmcd_default,0,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_default,0,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_default,0,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_default,0,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_default,0,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.05,0.30434782608695654,0.17721518987341772,0.224
A,r0.3,nfmcd_robust,0,0.1,0.2727272727272727,0.0379746835443038,0.06666666666666667
A,r0.3,nfmcd_robust,0,0.15,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_robust,0,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.05,0.1794871794871795,0.660377358490566,0.282258064516129
A,r0.2,nfmcd_default,3,0.1,0.17105263157894737,0.24528301886792453,0.2015503875968992
A,r0.2,nfmcd_default,3,0.15,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.2,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_default,3,0.5,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.05,0.16666666666666666,0.16981132075471697,0.16822429906542055
A,r0.2,nfmcd_robust,3,0.1,0.09523809523809523,0.03773584905660377,0.05405405405405406
A,r0.2,nfmcd_robust,3,0.15,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.2,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.25,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.3,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.4,0.0,0.0,0.0
A,r0.2,nfmcd_robust,3,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_default,2,0.05,0.24120603015075376,0.7384615384615385,0.36363636363636365
A,r0.3,nfmcd_default,2,0.1,0.2857142857142857,0.24615384615384617,0.2644628099173554
A,r0.3,nfmcd_default,2,0.15,0.23076923076923078,0.046153846153846156,0.07692307692307693
A,r0.3,nfmcd_default,2,0.2,0.25,0.015384615384615385,0.028985507246376812
A,r0.3,nfmcd_default,2,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_default,2,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_default,2,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_default,2,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_robust,2,0.05,0.21311475409836064,0.2,0.20634920634920634
A,r0.3,nfmcd_robust,2,0.1,0.3333333333333333,0.07692307692307693,0.125
A,r0.3,nfmcd_robust,2,0.15,0.5,0.015384615384615385,0.029850746268656723
A,r0.3,nfmcd_robust,2,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_robust,2,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_robust,2,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_robust,2,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_robust,2,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_default,3,0.05,0.22660098522167488,0.7076923076923077,0.34328358208955223
A,r0.3,nfmcd_default,3,0.1,0.23636363636363636,0.2,0.21666666666666665
A,r0.3,nfmcd_default,3,0.15,0.5294117647058824,0.13846153846153847,0.21951219512195122
A,r0.3,nfmcd_default,3,0.2,0.6666666666666666,0.03076923076923077,0.05882352941176471
A,r0.3,nfmcd_default,3,0.25,1.0,0.015384615384615385,0.030303030303030307
A,r0.3,nfmcd_default,3,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_default,3,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_default,3,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_robust,3,0.05,0.26,0.2,0.22608695652173913
A,r0.3,nfmcd_robust,3,0.1,0.6363636363636364,0.1076923076923077,0.1842105263157895
A,r0.3,nfmcd_robust,3,0.15,0.6666666666666666,0.03076923076923077,0.05882352941176471
A,r0.3,nfmcd_robust,3,0.2,0.0,0.0,0.0
A,r0.3,nfmcd_robust,3,0.25,0.0,0.0,0.0
A,r0.3,nfmcd_robust,3,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_robust,3,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_robust,3,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_default,4,0.05,0.23780487804878048,0.6,0.34061135371179035
A,r0.3,nfmcd_default,4,0.1,0.25,0.2,0.22222222222222224
A,r0.3,nfmcd_default,4,0.15,0.16666666666666666,0.03076923076923077,0.05194805194805195
A,r0.3,nfmcd_default,4,0.2,0.25,0.015384615384615385,0.028985507246376812
A,r0.3,nfmcd_default,4,0.25,1.0,0.015384615384615385,0.030303030303030307
A,r0.3,nfmcd_default,4,0.3,1.0,0.015384615384615385,0.030303030303030307
A,r0.3,nfmcd_default,4,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_default,4,0.5,0.0,0.0,0.0
A,r0.3,nfmcd_robust,4,0.05,0.1956521739130435,0.13846153846153847,0.16216216216216217
A,r0.3,nfmcd_robust,4,0.1,0.07692307692307693,0.015384615384615385,0.025641025641025644
A,r0.3,nfmcd_robust,4,0.15,0.16666666666666666,0.015384615384615385,0.028169014084507043
A,r0.3,nfmcd_robust,4,0.2,1.0,0.015384615384615385,0.030303030303030307
A,r0.3,nfmcd_robust,4,0.25,1.0,0.015384615384615385,0.030303030303030307
A,r0.3,nfmcd_robust,4,0.3,0.0,0.0,0.0
A,r0.3,nfmcd_robust,4,0.4,0.0,0.0,0.0
A,r0.3,nfmcd_robust,4,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_default,1,0.05,0.30158730158730157,0.6195652173913043,0.4056939501779359
A,r0.4,nfmcd_default,1,0.1,0.3125,0.16304347826086957,0.2142857142857143
A,r0.4,nfmcd_default,1,0.15,0.15384615384615385,0.021739130434782608,0.0380952380952381
A,r0.4,nfmcd_default,1,0.2,0.0,0.0,0.0
A,r0.4,nfmcd_default,1,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_default,1,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_default,1,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_default,1,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.05,0.35294117647058826,0.1956521739130435,0.2517482517482518
A,r0.4,nfmcd_robust,1,0.1,0.4,0.06521739130434782,0.11214953271028037
A,r0.4,nfmcd_robust,1,0.15,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.2,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_robust,1,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_default,2,0.05,0.30456852791878175,0.6593406593406593,0.4166666666666667
A,r0.4,nfmcd_default,2,0.1,0.2459016393442623,0.16483516483516483,0.19736842105263155
A,r0.4,nfmcd_default,2,0.15,0.3157894736842105,0.06593406593406594,0.1090909090909091
A,r0.4,nfmcd_default,2,0.2,0.2857142857142857,0.02197802197802198,0.040816326530612256
A,r0.4,nfmcd_default,2,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_default,2,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_default,2,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_default,2,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_robust,2,0.05,0.22,0.12087912087912088,0.15602836879432624
A,r0.4,nfmcd_robust,2,0.1,0.2857142857142857,0.06593406593406594,0.10714285714285714
A,r0.4,nfmcd_robust,2,0.15,0.2,0.01098901098901099,0.02083333333333334
A,r0.4,nfmcd_robust,2,0.2,0.0,0.0,0.0
A,r0.4,nfmcd_robust,2,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_robust,2,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_robust,2,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_robust,2,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_default,0,0.05,0.33146067415730335,0.5841584158415841,0.4229390681003584
A,r0.4,nfmcd_default,0,0.1,0.2653061224489796,0.12871287128712872,0.17333333333333334
A,r0.4,nfmcd_default,0,0.15,0.35714285714285715,0.04950495049504951,0.08695652173913043
A,r0.4,nfmcd_default,0,0.2,0.0,0.0,0.0
A,r0.4,nfmcd_default,0,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_default,0,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_default,0,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_default,0,0.5,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.05,0.3023255813953488,0.12871287128712872,0.18055555555555555
A,r0.4,nfmcd_robust,0,0.1,0.36363636363636365,0.039603960396039604,0.07142857142857144
A,r0.4,nfmcd_robust,0,0.15,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.2,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.25,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.3,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.4,0.0,0.0,0.0
A,r0.4,nfmcd_robust,0,0.5,0.0,0.0,0.0
B,amazon,nfmcd_default,0,0.05,0.85,0.25,0.3863636363636363
B,amazon,nfmcd_default,0,0.1,0.8888888888888888,0.23529411764705882,0.3720930232558139
B,amazon,nfmcd_default,0,0.15,0.9333333333333333,0.20588235294117646,0.3373493975903614
B,amazon,nfmcd_default,0,0.2,0.9166666666666666,0.16176470588235295,0.275
B,amazon,nfmcd_default,0,0.25,0.8,0.058823529411764705,0.1095890410958904
