method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
base:spectral_graph+content,crisismmd@r1.0,2,7,0.03481092752858502,0.5254201908799061,0.7212905038362206,,,,,,0.11
base:kmeans_content,crisismmd@r1.0,0,7,4.709504775424721e-05,0.3943730374016603,0.5610033449335877,,,,,,0.28
base:kmeans_content,crisismmd@r1.0,1,7,-0.005101568174557251,0.4064742121714391,0.5603964460777323,,,,,,0.27
base:louvain,crisismmd@r1.0,0,11,0.25307434750797725,0.0,0.15818876519706393,,,,,,0.16
base:kmeans_content,crisismmd@r1.0,2,7,0.0024528890114407665,0.4209784745470222,0.6037258915449902,,,,,,0.28
specsoft|raw,crisismmd@r1.0,2,7,0.012003509704385802,0.38447290127686995,0.5697126881200733,0.9868086049199094,0.01875,0.2275,,,0.95
specsoft|raw,crisismmd@r1.0,1,7,0.003158479477091034,0.3997714746239972,0.5760287373217791,0.9804613687887337,0.03625,0.22,,,0.97
base:louvain,crisismmd@r1.0,1,12,0.2556748327152022,0.0,0.14285088910187996,,,,,,0.14
base:louvain,crisismmd@r1.0,2,10,0.2538418112511343,0.0,0.15932253731041848,,,,,,0.14
default,fakeddit@r0.02,2,10,0.3631865439659848,0.476610516362616,0.30163993719446414,0.20814402682610247,0.2525,0.3408333333333333,1.5,,2.33
default,fakeddit@r0.02,1,10,0.29054984294563785,0.2945286623048132,0.3755289557546337,0.21223874774525478,0.26916666666666667,0.25333333333333335,1.5,,2.47
default,fakeddit@r0.02,0,10,0.31678816717331965,0.3197439068732103,0.30081760138924757,0.2248017525130839,0.285,0.32916666666666666,1.5,,2.5
fcm+rawpca+m1.2,fakeddit@r0.02,0,10,0.4515344710924659,0.8266101043517169,0.8694780122119857,0.9088580274618766,0.058333333333333334,0.33416666666666667,1.2,,2.67
fcm+rawpca+m1.2,fakeddit@r0.02,1,10,0.3003241176219839,0.6008270585630209,0.6080656496675954,0.7661545308663116,0.2825,0.17083333333333334,1.2,,2.42
kmsoft|cca,fakeddit@r0.02,0,10,0.41343994377213933,0.8832275362881701,0.8549155676761846,0.7485629287238124,0.27666666666666667,0.21,,,2.36
fcm+rawpca+m1.2,fakeddit@r0.02,2,10,0.34263544368264426,0.5979759431770145,0.6038297447484537,0.7823963534805916,0.20333333333333334,0.17333333333333334,1.2,,2.48
kmsoft|cca,fakeddit@r0.02,1,10,0.4002653110433001,0.8677154710723,0.8497317638134396,0.7309590047068192,0.25666666666666665,0.22083333333333333,,,2.24
kmsoft|cca,fakeddit@r0.02,2,10,0.40284528129744507,0.8197563839238484,0.8437114712004655,0.7339743416111378,0.2633333333333333,0.20583333333333334,,,2.22
kmsoft|raw,fakeddit@r0.02,0,10,0.4013248732201539,0.9042018515542956,0.8671886667731226,0.7919832634848476,0.315,0.22583333333333333,,,2.3
