method,dataset,seed,k_used,modularity,onmi,onmi_hard,ari,f1,extra,error,secs
rem:raw_pca+std,crisismmd@r0.1,2,7,0.459722526712548,0.5069534133011427,0.5069534133011427,0.8164349359361652,0.5196680848935714,,,1.0
ceil:content_cca,crisismmd@r0.1,0,7,0.03376043404012811,0.08781638440679673,0.08781638440679673,0.11804062639621575,0.29661950387569586,,,1.0
ceil:content_cca,crisismmd@r0.1,2,7,0.05720474949022845,0.11610208605532057,0.11714693602609305,0.11411552817482695,0.2812564416482237,,,0.89
ceil:content_cca_weighted,crisismmd@r0.1,0,7,0.04170222310563264,0.12235280865371578,0.12235280865371578,0.10702779922861487,0.2549566249231949,,,0.98
ceil:content_cca,crisismmd@r0.1,1,7,0.0481278470938608,0.09782075577654326,0.09782075577654326,0.14929791951455135,0.3557372417722349,,,1.14
ceil:raw_text,crisismmd@r0.1,0,7,0.16218196809892071,0.14553727255306037,0.14553727255306037,0.2842479130148331,0.3788584618614855,,,0.2
ceil:content_cca_weighted,crisismmd@r0.1,1,7,0.022268559273994758,0.0410472061266095,0.0410472061266095,0.04081587102707253,0.11088068895037609,,,1.09
ceil:raw_text,crisismmd@r0.1,1,7,0.10564902109134391,0.1473022910099231,0.1473022910099231,0.19623250985091392,0.2831476565829228,,,0.2
ceil:raw_text,crisismmd@r0.1,2,7,0.1625707102931458,0.24646697502270887,0.24646697502270887,0.3021688886666204,0.38214764517052513,,,0.16
ceil:raw_image,crisismmd@r0.1,1,7,0.0004197844606004985,0.0023663540498439772,0.0023663540498439772,0.0036229997770640867,0.10563607783472727,,,0.28
ceil:raw_image,crisismmd@r0.1,0,7,-0.014974948174362599,0.0023663540498439772,0.0023663540498439772,0.005571432587442662,0.11417821847878684,,,0.36
ceil:raw_concat_pca16,crisismmd@r0.1,0,7,-0.005836735791871093,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.11
ceil:raw_concat_pca16,crisismmd@r0.1,1,7,-0.0036784964110861858,0.0037219124066608655,0.0037219124066608655,0.005370220138383213,0.1108863463170335,,,0.09
ceil:raw_concat_pca16,crisismmd@r0.1,2,7,-0.004012038862679057,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.09
ceil:raw_image,crisismmd@r0.1,2,7,-0.00455328719267376,0.002240002611341496,0.002240002611341496,0.0051530547443803245,0.11381874004680277,,,0.34
ceil:structure,crisismmd@r0.1,0,7,0.44173628090192885,0.48401109605223547,0.46431769585876714,0.7999802980091504,0.6609289646477772,,,0.06
ceil:structure,crisismmd@r0.1,1,7,0.40916638428070934,0.46561445441833427,0.4454512819590921,0.7206586494116545,0.6449036354761188,,,0.06
ceil:structure,crisismmd@r0.1,2,7,0.40107754543737817,0.45084630758006916,0.4037350381597512,0.6891180566674227,0.6115706045802021,,,0.11
base:louvain,crisismmd@r0.1,0,5,0.4767531462363063,0.6416753864813456,0.6416753864813456,0.8679661587327142,0.9046601716549623,,,0.12
ceil:content_cca_weighted,crisismmd@r0.1,2,7,0.03351368612494394,0.03464250854418238,0.03464250854418238,0.035197248200455604,0.12215363622240974,,,1.03
base:louvain,crisismmd@r0.1,1,6,0.4568103738977049,0.3964962817979135,0.3964962817979135,0.737199701492046,0.6392845570178253,,,0.17
base:louvain,crisismmd@r0.1,2,5,0.4741745013191766,0.5530382581428894,0.5530382581428894,0.8698239007756158,0.8533822622234464,,,0.16
base:spectral_graph+content,crisismmd@r0.1,0,7,0.4572958657720974,0.8675302499664546,0.8675302499664546,0.9225724840987282,0.954510105908116,,,0.12
base:spectral_graph+content,crisismmd@r0.1,1,7,0.4529792117191877,0.8538458898509859,0.8538458898509859,0.9264346857172143,0.945628381255194,,,0.14
base:spectral_graph+content,crisismmd@r0.1,2,7,0.44534131040403835,0.8453143716242535,0.8453143716242535,0.9082716822662048,0.9419138221023301,,,0.16
base:nfmcd_structure_only,crisismmd@r0.1,0,7,0.44173628090192885,0.48401109605223547,0.46431769585876714,0.7999802980091504,0.6609289646477772,,,0.08
base:nfmcd_structure_only,crisismmd@r0.1,1,7,0.40916638428070934,0.46561445441833427,0.4454512819590921,0.7206586494116545,0.6449036354761188,,,0.08
base:kmeans_content,crisismmd@r0.1,1,7,0.17943973003792496,0.4064742121714391,0.4064742121714391,0.3967397442410731,0.5603964460777323,,,0.33
base:nfmcd_structure_only,crisismmd@r0.1,2,7,0.40107754543737817,0.45084630758006916,0.4037350381597512,0.6891180566674227,0.6115706045802021,,,0.08
base:kmeans_content,crisismmd@r0.1,0,7,0.17925418573803628,0.3943730374016603,0.3943730374016603,0.40217737603168063,0.5610033449335877,,,0.39
base:kmeans_content,crisismmd@r0.1,2,7,0.20184344465352816,0.4209784745470222,0.4209784745470222,0.4550070981906108,0.6037258915449902,,,0.34
diag,crisismmd@r0.1,1,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.58, ""min_cluster_frac"": 0.0, ""n_empty"": 3, ""sizes_top3"": [464, 308, 27], ""umax_mean"": 0.142964948544771, ""umax_q10"": 0.14286453512486882, ""umax_q90"": 0.14320513760449433, ""frac_umax_lt_0p3"": 1.0, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.0, ""frac_in_half_or_more"": 0.0, ""pred_comm_frac_top"": 0.58, ""pred_comm_frac_med"": 0.00125, ""fcm_obj"": 289.40195017087916, ""fcm_iters"": 47, ""center_min_dist"": 1.2236553190727723e-06, ""center_mean_dist"": 0.00034512266978741965, ""within_rms"": 0.9781396672555687, ""center_sep_ratio"": 1.2510026533376487e-06, ""alpha_mean"": 0.6029959740553547, ""conf_mean"": 0.6471371057933639, ""frac_both"": 1.0, ""var_content_w"": 0.5615293133119029, ""var_struct_w"": 0.39557762632652727, ""var_share_content"": 0.5866944330415651, ""pdist_content_w"": 1.0418932193954378, ""pdist_struct_w"": 0.8531464743036166, ""cca_dim"": 8, ""eta2_content_w"": 0.17785445908809483, ""eta2_struct_w"": 0.6132077543774599, ""eta2_fused"": 0.357788399624622, ""eta2_content_raw"": 0.1729903478295084, ""eta2_struct_raw"": 0.6148260956179248}",,0.84
diag,crisismmd@r0.1,2,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.48875, ""min_cluster_frac"": 0.0, ""n_empty"": 2, ""sizes_top3"": [391, 355, 52], ""umax_mean"": 0.14295892371174188, ""umax_q10"": 0.14286474050458542, ""umax_q90"": 0.14314951729233621, ""frac_umax_lt_0p3"": 1.0, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.0, ""frac_in_half_or_more"": 0.0, ""pred_comm_frac_top"": 0.48875, ""pred_comm_frac_med"": 0.00125, ""fcm_obj"": 289.26002738075607, ""fcm_iters"": 34, ""center_min_dist"": 9.910403901933824e-07, ""center_mean_dist"": 0.00034897454688497925, ""within_rms"": 0.977906742809157, ""center_sep_ratio"": 1.0134303679566458e-06, ""alpha_mean"": 0.6009836829662953, ""conf_mean"": 0.6442624042375646, ""frac_both"": 1.0, ""var_content_w"": 0.5593886840039345, ""var_struct_w"": 0.39724888675388725, ""var_share_content"": 0.5847446317210995, ""pdist_content_w"": 1.0309728169867602, ""pdist_struct_w"": 0.8676706258615161, ""cca_dim"": 8, ""eta2_content_w"": 0.17302034373480932, ""eta2_struct_w"": 0.5787432258449169, ""eta2_fused"": 0.34149894856437096, ""eta2_content_raw"": 0.16803835081833005, ""eta2_struct_raw"": 0.5789139618422091}",,0.86
