group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
miss,crisismmd,2,nfmcd_default,0.0,7,0.6076187149920035,0.5122659845460196,0.7379396383562477,nan,nan,,0.76
miss,crisismmd,1,nfmcd_default,0.0,7,0.6290563695197424,0.5267513351527662,0.506950028298826,nan,nan,,0.86
miss,crisismmd,0,nfmcd_robust,0.0,7,0.7067088036285051,0.45831892225027016,0.7003090224252355,nan,nan,,0.34
miss,crisismmd,1,nfmcd_robust,0.0,7,0.7097932583825237,0.4577152988615624,0.7067227870812722,nan,nan,,0.34
miss,crisismmd,1,nfmcd_default,0.4,7,0.6058754714520878,0.5227041968016412,0.717252679752664,nan,nan,,0.17
miss,crisismmd,0,nfmcd_default,0.4,7,0.598121927702744,0.5202113217373325,0.7117655637946992,nan,nan,,0.22
miss,crisismmd,2,nfmcd_robust,0.0,7,0.7058647764506246,0.45700605811460737,0.6988240049654377,nan,nan,,0.33
miss,crisismmd,2,nfmcd_default,0.4,7,0.5967208149908462,0.5158977448257013,0.711923841489044,nan,nan,,0.17
miss,crisismmd,0,nfmcd_robust,0.4,7,0.6155034340522674,0.5224364194590141,0.7221664592316699,nan,nan,,0.17
miss,crisismmd,1,nfmcd_robust,0.4,7,0.6189102268175699,0.5234608597215308,0.7259576972265392,nan,nan,,0.17
miss,crisismmd,0,nfmcd_default,0.8,7,0.6077729293057934,0.47632805199126893,0.7043142923601559,nan,nan,,0.06
miss,crisismmd,2,nfmcd_robust,0.4,7,0.6152136980107926,0.5229509092443365,0.7228965739069105,nan,nan,,0.17
miss,crisismmd,1,nfmcd_default,0.8,7,0.6002469099488047,0.48258865739440115,0.7109112174056994,nan,nan,,0.06
miss,crisismmd,2,nfmcd_default,0.8,7,0.5983832124245163,0.47428172351965314,0.7024490816901583,nan,nan,,0.05
miss,crisismmd,0,nfmcd_robust,0.8,7,0.5463763993911531,0.5142830689956845,0.7578594342695454,nan,nan,,0.06
miss,crisismmd,1,nfmcd_robust,0.8,7,0.5516103972266733,0.5159983417509957,0.7589003460605516,nan,nan,,0.08
