dataset,variant,threshold,seed,onmi,f1,mean_max_membership
dblp,robust,0.3,1,0.671801895269439,0.7323306456793213,0.9325613539488821
dblp,robust,0.3,2,0.671801895269439,0.7323306456793213,0.9325613497811295
dblp,robust,0.35,0,0.6754003340215098,0.7333746204252276,0.9325613497811286
dblp,robust,0.35,1,0.6754003340215098,0.7333746204252276,0.9325613539488821
dblp,robust,0.35,2,0.6754003340215098,0.7333746204252276,0.9325613497811295
dblp,robust,0.4,0,0.6718737146918623,0.7319409411514703,0.9325613497811286
dblp,robust,0.4,1,0.6718737146918623,0.7319409411514702,0.9325613539488821
dblp,robust,0.4,2,0.6718737146918623,0.7319409411514703,0.9325613497811295
amazon,default,0.1,0,0.40785789140422535,0.7538909356671685,0.9384570920835229
amazon,default,0.1,1,0.40785789140422535,0.7538909356671685,0.9384544526676404
amazon,default,0.1,2,0.40785789140422535,0.7538909356671685,0.938326844777749
amazon,default,0.15,0,0.4410301271348962,0.7710071474983755,0.9384570920835229
amazon,default,0.15,1,0.4410301271348962,0.7710071474983757,0.9384544526676404
amazon,default,0.15,2,0.4410301271348962,0.7710071474983757,0.938326844777749
amazon,default,0.2,0,0.5535487568737809,0.7972215846095807,0.9384570920835229
amazon,default,0.2,1,0.5535487568737809,0.7972215846095806,0.9384544526676404
amazon,default,0.2,2,0.5535487568737809,0.7972215846095806,0.938326844777749
amazon,default,0.25,0,0.540140219879248,0.7664550585898902,0.9384570920835229
amazon,default,0.25,1,0.540140219879248,0.76645505858989,0.9384544526676404
amazon,default,0.25,2,0.5416005860559279,0.7712115273874547,0.938326844777749
amazon,default,0.3,0,0.535887821000959,0.7513584402324021,0.9384570920835229
amazon,default,0.3,1,0.535887821000959,0.7513584402324021,0.9384544526676404
amazon,default,0.3,2,0.535887821000959,0.7513584402324021,0.938326844777749
amazon,default,0.35,0,0.5275031018686339,0.7484217701609006,0.9384570920835229
amazon,default,0.35,1,0.5275031018686339,0.7484217701609006,0.9384544526676404
amazon,default,0.35,2,0.5275031018686339,0.7484217701609006,0.938326844777749
amazon,default,0.4,0,0.526120191794379,0.7430935519170814,0.9384570920835229
amazon,default,0.4,1,0.526120191794379,0.7430935519170814,0.9384544526676404
amazon,default,0.4,2,0.526120191794379,0.7430935519170814,0.938326844777749
amazon,robust,0.1,0,0.40785789140422535,0.7538909356671684,0.9384540558603633
amazon,robust,0.1,1,0.40785789140422535,0.7538909356671684,0.9384540558603631
