exp,dataset,variant,seed,cond,metric,value
E1,crisismmd,default,2,tree_C_L4,fit_acc,0.84375
E1,crisismmd,default,2,tree_C_L4,cv_acc,0.8425
E1,crisismmd,default,2,tree_C_L6,fit_acc,0.91875
E1,crisismmd,default,2,tree_C_L6,cv_acc,0.8949999999999999
E1,crisismmd,default,2,tree_C_L8,fit_acc,0.92625
E1,crisismmd,default,2,tree_C_L8,cv_acc,0.9012499999999999
E1,crisismmd,default,2,tree_C_L12,fit_acc,0.9375
E1,crisismmd,default,2,tree_C_L12,cv_acc,0.8987499999999999
E1,crisismmd,default,2,tree_C_L16,fit_acc,0.94375
E1,crisismmd,default,2,tree_C_L16,cv_acc,0.89375
E1,crisismmd,default,2,tree_C_L24,fit_acc,0.955
E1,crisismmd,default,2,tree_C_L24,cv_acc,0.9037499999999999
E1,crisismmd,default,2,tree_C_L32,fit_acc,0.96625
E1,crisismmd,default,2,tree_C_L32,cv_acc,0.9
E1,crisismmd,default,2,tree,majority_all,0.25875
_,crisismmd,default,2,core|crisismmd|default|2,_done,2.76
E2,crisismmd,default,3,all,recon_maxabs,5.551115123125783e-16
E2,crisismmd,default,3,all,n_with_content,800
E2,crisismmd,default,3,all,n_nodes,800
E2,crisismmd,default,3,all,flip_content_mean,0.09625
E2,crisismmd,default,3,all,flip_structure_mean,0.74625
E2,crisismmd,default,3,all,spearman_alpha_delta_mean,0.5064994164053382
E2,crisismmd,default,3,all,spearman_alpha_delta,0.5149438670997925
E2,crisismmd,default,3,all,spearman_posthoc_delta,-0.19695000304687976
E2,crisismmd,default,3,all,spearman_normshare_delta,0.5199045623508788
E2,crisismmd,default,3,all,spearman_alpha_tvc,0.2693457646027572
E2,crisismmd,default,3,all,spearman_alpha_tvs,-0.5578351919299874
E2,crisismmd,default,3,all,mean_tv_content,0.2936748723913849
E2,crisismmd,default,3,all,mean_tv_structure,0.2186862086959544
E2,crisismmd,default,3,all,flip_content,0.0925
E2,crisismmd,default,3,all,flip_structure,0.74625
E2,crisismmd,default,3,all,alpha_std,0.09326019067451247
E2,crisismmd,default,3,all,flip_content_T1,0.04119850187265917
E2,crisismmd,default,3,all,flip_structure_T1,0.846441947565543
E2,crisismmd,default,3,all,alpha_mean_T1,0.5003920671398333
E2,crisismmd,default,3,all,flip_content_T2,0.09363295880149813
E2,crisismmd,default,3,all,flip_structure_T2,0.7228464419475655
E2,crisismmd,default,3,all,alpha_mean_T2,0.6361856634953265
E2,crisismmd,default,3,all,flip_content_T3,0.14285714285714285
E2,crisismmd,default,3,all,flip_structure_T3,0.6691729323308271
E2,crisismmd,default,3,all,alpha_mean_T3,0.6683963643764861
E1,crisismmd,default,3,rules,n_rules,5.0
E1,crisismmd,default,3,rules,fidelity,0.29
E1,crisismmd,default,3,rules,coverage,1.0
E1,crisismmd,default,3,rules,majority_covered,0.26
E1,crisismmd,default,3,rules,majority_all,0.26
E1,crisismmd,default,3,rules,lift_pts,0.02999999999999997
E1,crisismmd,default,3,tree_A_L2,fit_acc,0.2775
E1,crisismmd,default,3,tree_A_L2,cv_acc,0.26625
E1,crisismmd,default,3,tree_A_L3,fit_acc,0.295
E1,crisismmd,default,3,tree_A_L3,cv_acc,0.2625
E1,crisismmd,default,3,tree_A_L4,fit_acc,0.295
E1,crisismmd,default,3,tree_A_L4,cv_acc,0.25
E1,crisismmd,default,3,tree_A_L6,fit_acc,0.2975
E1,crisismmd,default,3,tree_A_L6,cv_acc,0.25625
E1,crisismmd,default,3,tree_A_L8,fit_acc,0.315
E1,crisismmd,default,3,tree_A_L8,cv_acc,0.25875
E1,crisismmd,default,3,tree_A_L12,fit_acc,0.3225
E1,crisismmd,default,3,tree_A_L12,cv_acc,0.24125000000000002
E1,crisismmd,default,3,tree_A_L16,fit_acc,0.34125
E1,crisismmd,default,3,tree_A_L16,cv_acc,0.24625
E1,crisismmd,default,3,tree_A_L24,fit_acc,0.3575
E1,crisismmd,default,3,tree_A_L24,cv_acc,0.24874999999999997
E1,crisismmd,default,3,tree_A_L32,fit_acc,0.37125
E1,crisismmd,default,3,tree_A_L32,cv_acc,0.24749999999999997
E1,crisismmd,default,3,tree_B_L2,fit_acc,0.50125
E1,crisismmd,default,3,tree_B_L2,cv_acc,0.48125
E1,crisismmd,default,3,tree_B_L3,fit_acc,0.73875
E1,crisismmd,default,3,tree_B_L3,cv_acc,0.7375
E1,crisismmd,default,3,tree_B_L4,fit_acc,0.84625
E1,crisismmd,default,3,tree_B_L4,cv_acc,0.845
E1,crisismmd,default,3,tree_B_L6,fit_acc,0.905
E1,crisismmd,default,3,tree_B_L6,cv_acc,0.89375
E1,crisismmd,default,3,tree_B_L8,fit_acc,0.925
E1,crisismmd,default,3,tree_B_L8,cv_acc,0.8975
E1,crisismmd,default,3,tree_B_L12,fit_acc,0.93625
E1,crisismmd,default,3,tree_B_L12,cv_acc,0.9024999999999999
E1,crisismmd,default,3,tree_B_L16,fit_acc,0.9425
E1,crisismmd,default,3,tree_B_L16,cv_acc,0.8987499999999999
E1,crisismmd,default,3,tree_B_L24,fit_acc,0.95875
E1,crisismmd,default,3,tree_B_L24,cv_acc,0.9049999999999999
E1,crisismmd,default,3,tree_B_L32,fit_acc,0.9675
