method,dataset,seed,k_used,modularity,onmi,f1,error,secs
nfmcd_default,fakeddit,9,10,0.31168230848975037,0.2952816919605501,0.3087859116131467,,4.41
nfmcd_default,fakeddit,15,10,0.3123120837428735,0.3337578318209973,0.28432224175604925,,3.33
nfmcd_default,fakeddit,13,10,0.3277459332101938,0.2843791748848985,0.2571543462286453,,4.05
nfmcd_default,fakeddit,12,10,0.28051494242352876,0.3242800819572814,0.2709088689560769,,4.64
nfmcd_default,fakeddit,14,10,0.31910525327269945,0.34463908255216547,0.2870697059917308,,4.22
nfmcd_default,fakeddit,16,10,0.2796628017428491,0.3190048005815881,0.26844245659328925,,3.56
nfmcd_default,fakeddit,18,10,0.28475340992121206,0.2947494935025403,0.2659932473639969,,3.58
nfmcd_robust,fakeddit,0,10,0.3942959636699764,0.8113488531490279,0.8392229208185844,,0.81
nfmcd_default,fakeddit,17,10,0.3171005912941725,0.33653992231306895,0.31327093610832624,,4.08
nfmcd_default,fakeddit,19,10,0.25827515394550427,0.2169549210494952,0.2925605850860883,,3.77
nfmcd_robust,fakeddit,1,10,0.3564787112686977,0.8506792410141415,0.8487619277035814,,0.75
nfmcd_robust,fakeddit,3,10,0.3511817146435928,0.8473520376181343,0.8478231461910608,,0.59
nfmcd_robust,fakeddit,4,10,0.3541341148157951,0.8478793447313022,0.8461170287745755,,0.69
nfmcd_robust,fakeddit,2,10,0.3514289405845578,0.8468286440980985,0.8467300513295998,,0.84
nfmcd_robust,fakeddit,5,10,0.3535666485137671,0.8437891018269907,0.845284538441972,,0.66
nfmcd_robust,fakeddit,6,10,0.4271173199193117,0.7920220865491621,0.8531190850195035,,0.64
nfmcd_robust,fakeddit,7,10,0.3521173012858711,0.8490376159807783,0.8467838002792059,,0.67
nfmcd_robust,fakeddit,8,10,0.35465471721855596,0.8477846699563014,0.8483659191640189,,0.75
nfmcd_robust,fakeddit,9,10,0.3518364746330615,0.8519257969194195,0.8495809285225822,,0.73
nfmcd_robust,fakeddit,10,10,0.35296062850843396,0.8471740430330326,0.8472867286797692,,0.7
nfmcd_robust,fakeddit,12,10,0.35444832240140695,0.8492882545569349,0.8486977523018167,,0.67
nfmcd_robust,fakeddit,11,10,0.35521256102077514,0.8488089975813984,0.8480294388675544,,0.86
nfmcd_robust,fakeddit,14,10,0.3524233866025282,0.8516742492075858,0.8491632472968202,,0.69
nfmcd_robust,fakeddit,13,10,0.3543991237479658,0.8464682984924168,0.8470703598908598,,0.83
nfmcd_robust,fakeddit,15,10,0.3551915577888192,0.8450452795315888,0.8476732906782081,,0.75
nfmcd_robust,fakeddit,16,10,0.35187596160099566,0.8494883508994068,0.8479575518992057,,0.97
nfmcd_robust,fakeddit,18,10,0.35337766083380945,0.8487360343117906,0.8471900080395566,,0.66
nfmcd_robust,fakeddit,17,10,0.35354825396348727,0.8480027378224353,0.8472287067696362,,0.7
spectral_graph+content,fakeddit,1,10,0.3665328857833608,0.558267171382854,0.7135813227392899,,0.45
spectral_graph+content,fakeddit,2,10,0.3624479068724976,0.5489359502033544,0.7063716959117723,,0.48
spectral_graph+content,fakeddit,0,10,0.36495366825268355,0.5550827656017339,0.7086974478858832,,0.64
nfmcd_robust,fakeddit,19,10,0.3539714592132684,0.8479517428429725,0.8478739763954103,,0.95
spectral_graph+content,fakeddit,4,10,0.3627046056087064,0.5441146202720282,0.7029624915118368,,0.42
spectral_graph+content,fakeddit,3,10,0.3647941914832614,0.553596092035604,0.7077854280165313,,0.47
spectral_graph+content,fakeddit,5,10,0.36541494305483607,0.5510600934640735,0.7090852394735869,,0.61
spectral_graph+content,fakeddit,6,10,0.3626632998895671,0.548306470304161,0.7068815175527773,,0.56
spectral_graph+content,fakeddit,8,10,0.3647941914832614,0.553596092035604,0.7077854280165313,,0.55
spectral_graph+content,fakeddit,7,10,0.36620003838679865,0.5546066438260199,0.7115468399551804,,0.59
spectral_graph+content,fakeddit,9,10,0.36261418086621366,0.5505449487643554,0.707266153268156,,0.53
spectral_graph+content,fakeddit,10,10,0.3637346144238845,0.5495666813716094,0.7065967213989006,,0.53
spectral_graph+content,fakeddit,11,10,0.3662092754769825,0.5551612231776336,0.7117828517858525,,0.45
spectral_graph+content,fakeddit,12,10,0.36495366825268355,0.5550827656017339,0.7086974478858832,,0.5
spectral_graph+content,fakeddit,13,10,0.36495366825268355,0.5550827656017339,0.7086974478858832,,0.5
spectral_graph+content,fakeddit,15,10,0.36261418086621366,0.5505449487643554,0.707266153268156,,0.47
spectral_graph+content,fakeddit,14,10,0.36855051472538375,0.5598176082459171,0.7131954830219244,,0.64
spectral_graph+content,fakeddit,16,10,0.3614169170146379,0.5434838891037732,0.702739407395316,,0.44
spectral_graph+content,fakeddit,17,10,0.36277193762573945,0.5520283786192578,0.7081753843028766,,0.55
spectral_graph+content,fakeddit,18,10,0.3637346144238845,0.5495666813716094,0.7065967213989006,,0.45
spectral_graph+content,fakeddit,19,10,0.3624479068724976,0.5489359502033544,0.7063716959117723,,0.61
kmeans_content,fakeddit,1,10,0.11747181848192807,0.05281184324661137,0.3080640691677653,,0.81
kmeans_content,fakeddit,0,10,0.1358541343951137,0.08148429537517676,0.27069755766412107,,1.14
kmeans_content,fakeddit,2,10,0.13111921789289857,0.08074720016748604,0.27483072454287527,,1.22
kmeans_content,fakeddit,5,10,0.14018775984770807,0.11876533687380375,0.32840348469412495,,0.61
kmeans_content,fakeddit,3,10,0.1188626025580586,0.1017730965299205,0.33429836971049065,,1.23
kmeans_content,fakeddit,4,10,0.12069047618607757,0.12301097420307361,0.33028568455167867,,0.91
kmeans_content,fakeddit,7,10,0.10168641491782165,0.04776975666923289,0.2850489913006121,,0.81
kmeans_content,fakeddit,9,10,0.14955560582089827,0.10752714432865151,0.2727165347054475,,0.89
kmeans_content,fakeddit,8,10,0.14527809409856896,0.12413436678536582,0.31951133406769117,,1.11
kmeans_content,fakeddit,6,10,0.10578034425055255,0.04339783266096964,0.2552663976576965,,1.34
kmeans_content,fakeddit,10,10,0.12015502436454538,0.11550970427202101,0.30702627585376796,,0.81
kmeans_content,fakeddit,11,10,0.13416442215461677,0.09694015693089097,0.3721282257516899,,0.61
kmeans_content,fakeddit,13,10,0.10070470971389794,0.0323188656669795,0.29654452552179555,,1.28
kmeans_content,fakeddit,12,10,0.12489513274848452,0.07580150224066984,0.2753250034054899,,1.42
kmeans_content,fakeddit,15,10,0.1371216033172901,0.0830332744298099,0.2843623907818658,,0.88
kmeans_content,fakeddit,14,10,0.15293537748907488,0.0992789309015959,0.31423151601998206,,1.08
kmeans_content,fakeddit,16,10,0.14835313097637745,0.1453075855572693,0.3064111167527389,,0.88
nfmcd_default,dblp,0,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.2
kmeans_content,fakeddit,17,10,0.1580818031737763,0.15433878441645343,0.3764255970282383,,0.98
kmeans_content,fakeddit,18,10,0.13405092061268206,0.10286419854112094,0.29561630534036165,,0.95
kmeans_content,fakeddit,19,10,0.13418740976836044,0.08331682725801004,0.2892529117190389,,0.98
nfmcd_default,dblp,2,8,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.12
nfmcd_default,dblp,1,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.17
nfmcd_default,dblp,3,8,0.8391351129221739,0.6352848723311355,0.730427978129355,,0.12
nfmcd_default,dblp,5,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
nfmcd_default,dblp,4,8,0.8300787530016641,0.6262958562580819,0.780971684688646,,0.14
nfmcd_default,dblp,7,8,0.8463994277166857,0.6862958057168222,0.8152725137881013,,0.11
nfmcd_default,dblp,6,8,0.8300787530016641,0.6262958562580819,0.780971684688646,,0.16
nfmcd_default,dblp,10,8,0.8300787530016641,0.6262958562580819,0.780971684688646,,0.09
nfmcd_default,dblp,8,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_default,dblp,9,8,0.8328069801206573,0.6185865406421194,0.7135768129045168,,0.14
nfmcd_default,dblp,11,8,0.8300787530016641,0.6262958562580819,0.7809716846886459,,0.14
nfmcd_default,dblp,12,8,0.8385253692576263,0.4496606626704416,0.5502086578693413,,0.12
nfmcd_default,dblp,13,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.12
nfmcd_default,dblp,15,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.14
nfmcd_default,dblp,14,8,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.22
