rate,blend,method,seed,threshold,precision,recall,f1
0.1,0.3,nfmcd_robust,1,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,1,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_default,2,0.05,0.08823529411764706,0.75,0.15789473684210525
0.1,0.3,nfmcd_default,2,0.1,0.14035087719298245,0.3333333333333333,0.19753086419753085
0.1,0.3,nfmcd_default,2,0.15,0.15384615384615385,0.08333333333333333,0.10810810810810811
0.1,0.3,nfmcd_default,2,0.2,0.0,0.0,0.0
0.1,0.3,nfmcd_default,2,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_default,2,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_default,2,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_default,2,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.05,0.06896551724137931,0.16666666666666666,0.0975609756097561
0.1,0.3,nfmcd_robust,2,0.1,0.16666666666666666,0.08333333333333333,0.1111111111111111
0.1,0.3,nfmcd_robust,2,0.15,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.2,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,2,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_default,0,0.05,0.0898876404494382,0.6666666666666666,0.15841584158415842
0.1,0.5,nfmcd_default,0,0.1,0.1724137931034483,0.4166666666666667,0.2439024390243903
0.1,0.5,nfmcd_default,0,0.15,0.3,0.25,0.2727272727272727
0.1,0.5,nfmcd_default,0,0.2,0.75,0.125,0.21428571428571427
0.1,0.5,nfmcd_default,0,0.25,0.6666666666666666,0.08333333333333333,0.14814814814814814
0.1,0.5,nfmcd_default,0,0.3,1.0,0.041666666666666664,0.07999999999999999
0.1,0.5,nfmcd_default,0,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_default,0,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,0,0.05,0.17857142857142858,0.4166666666666667,0.25
0.1,0.5,nfmcd_robust,0,0.1,0.21052631578947367,0.16666666666666666,0.186046511627907
0.1,0.5,nfmcd_robust,0,0.15,0.2857142857142857,0.08333333333333333,0.12903225806451613
0.1,0.5,nfmcd_robust,0,0.2,1.0,0.041666666666666664,0.07999999999999999
0.1,0.5,nfmcd_robust,0,0.25,1.0,0.041666666666666664,0.07999999999999999
0.1,0.5,nfmcd_robust,0,0.3,1.0,0.041666666666666664,0.07999999999999999
0.1,0.5,nfmcd_robust,0,0.4,0.0,0.0,0.0
0.1,0.5,nfmcd_robust,0,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_default,3,0.05,0.12254901960784313,0.9615384615384616,0.2173913043478261
0.1,0.3,nfmcd_default,3,0.1,0.14492753623188406,0.38461538461538464,0.2105263157894737
0.1,0.3,nfmcd_default,3,0.15,0.25,0.11538461538461539,0.15789473684210525
0.1,0.3,nfmcd_default,3,0.2,0.5,0.038461538461538464,0.07142857142857144
0.1,0.3,nfmcd_default,3,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_default,3,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_default,3,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_default,3,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,3,0.05,0.19298245614035087,0.4230769230769231,0.2650602409638554
0.1,0.3,nfmcd_robust,3,0.1,0.36363636363636365,0.15384615384615385,0.21621621621621623
0.1,0.3,nfmcd_robust,3,0.15,0.5,0.038461538461538464,0.07142857142857144
0.1,0.3,nfmcd_robust,3,0.2,1.0,0.038461538461538464,0.07407407407407407
0.1,0.3,nfmcd_robust,3,0.25,1.0,0.038461538461538464,0.07407407407407407
0.1,0.3,nfmcd_robust,3,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,3,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,3,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_default,4,0.05,0.10714285714285714,0.6923076923076923,0.18556701030927836
0.1,0.3,nfmcd_default,4,0.1,0.2127659574468085,0.38461538461538464,0.273972602739726
0.1,0.3,nfmcd_default,4,0.15,0.4166666666666667,0.19230769230769232,0.2631578947368421
0.1,0.3,nfmcd_default,4,0.2,1.0,0.11538461538461539,0.20689655172413793
0.1,0.3,nfmcd_default,4,0.25,0.0,0.0,0.0
0.1,0.3,nfmcd_default,4,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_default,4,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_default,4,0.5,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,4,0.05,0.14583333333333334,0.2692307692307692,0.1891891891891892
0.1,0.3,nfmcd_robust,4,0.1,0.2857142857142857,0.15384615384615385,0.2
0.1,0.3,nfmcd_robust,4,0.15,0.6,0.11538461538461539,0.1935483870967742
0.1,0.3,nfmcd_robust,4,0.2,1.0,0.07692307692307693,0.14285714285714288
0.1,0.3,nfmcd_robust,4,0.25,1.0,0.038461538461538464,0.07407407407407407
0.1,0.3,nfmcd_robust,4,0.3,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,4,0.4,0.0,0.0,0.0
0.1,0.3,nfmcd_robust,4,0.5,0.0,0.0,0.0
0.1,0.5,nfmcd_default,1,0.05,0.08837209302325581,1.0,0.16239316239316237
0.1,0.5,nfmcd_default,1,0.1,0.1891891891891892,0.7368421052631579,0.3010752688172043
0.1,0.5,nfmcd_default,1,0.15,0.45,0.47368421052631576,0.46153846153846156
0.1,0.5,nfmcd_default,1,0.2,0.6,0.15789473684210525,0.25
