diagnostic,dataset,seed,variant,metric,value
d1_alpha_conf,fakeddit,0,image_only,conf_sd,0.000000
d1_alpha_conf,fakeddit,0,image_only,conf_q05,0.000000
d1_alpha_conf,fakeddit,0,image_only,conf_q25,0.000000
d1_alpha_conf,fakeddit,0,image_only,conf_q50,0.000000
d1_alpha_conf,fakeddit,0,image_only,conf_q75,0.000000
d1_alpha_conf,fakeddit,0,image_only,conf_q95,0.000000
d1_alpha_conf,fakeddit,0,image_only,n_flag_both,0.000000
d1_alpha_conf,fakeddit,0,image_only,n_flag_single,1143.000000
d1_alpha_conf,fakeddit,1,image_only,onmi,0.822286
d1_alpha_conf,fakeddit,1,image_only,alpha_n,1200.000000
d1_alpha_conf,fakeddit,1,image_only,alpha_mean,0.150000
d1_alpha_conf,fakeddit,1,image_only,alpha_sd,0.000000
d1_alpha_conf,fakeddit,1,image_only,alpha_q05,0.150000
d1_alpha_conf,fakeddit,1,image_only,alpha_q25,0.150000
d1_alpha_conf,fakeddit,1,image_only,alpha_q50,0.150000
d1_alpha_conf,fakeddit,1,image_only,alpha_q75,0.150000
d1_alpha_conf,fakeddit,1,image_only,alpha_q95,0.150000
d1_alpha_conf,fakeddit,1,image_only,conf_n,1200.000000
d1_alpha_conf,fakeddit,1,image_only,conf_mean,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_sd,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_q05,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_q25,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_q50,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_q75,0.000000
d1_alpha_conf,fakeddit,1,image_only,conf_q95,0.000000
d1_alpha_conf,fakeddit,1,image_only,n_flag_both,0.000000
d1_alpha_conf,fakeddit,1,image_only,n_flag_single,1143.000000
d1_alpha_conf,fakeddit,2,image_only,onmi,0.772030
d1_alpha_conf,fakeddit,2,image_only,alpha_n,1200.000000
d1_alpha_conf,fakeddit,2,image_only,alpha_mean,0.150000
d1_alpha_conf,fakeddit,2,image_only,alpha_sd,0.000000
d1_alpha_conf,fakeddit,2,image_only,alpha_q05,0.150000
d1_alpha_conf,fakeddit,2,image_only,alpha_q25,0.150000
d1_alpha_conf,fakeddit,2,image_only,alpha_q50,0.150000
d1_alpha_conf,fakeddit,2,image_only,alpha_q75,0.150000
d1_alpha_conf,fakeddit,2,image_only,alpha_q95,0.150000
d1_alpha_conf,fakeddit,2,image_only,conf_n,1200.000000
d1_alpha_conf,fakeddit,2,image_only,conf_mean,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_sd,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_q05,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_q25,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_q50,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_q75,0.000000
d1_alpha_conf,fakeddit,2,image_only,conf_q95,0.000000
d1_alpha_conf,fakeddit,2,image_only,n_flag_both,0.000000
d1_alpha_conf,fakeddit,2,image_only,n_flag_single,1143.000000
d2_alpha_sweep,fakeddit,0,a=0.02,onmi,0.822307
d2_alpha_sweep,fakeddit,0,a=0.15,onmi,0.791185
d2_alpha_sweep,fakeddit,0,a=0.3,onmi,0.787527
d2_alpha_sweep,fakeddit,0,a=0.5,onmi,0.393909
d2_alpha_sweep,fakeddit,0,a=0.7,onmi,0.229854
d2_alpha_sweep,fakeddit,0,a=0.85,onmi,0.153266
d2_alpha_sweep,fakeddit,0,a=0.98,onmi,0.061372
