rate,blend,condition,seed,n_nodes,n_overlap,onmi_standard,strict_acc_all,lenient_acc_all,strict_acc_overlap,lenient_acc_overlap,strict_acc_nonoverlap,frac_hard_c1,frac_hard_c2,frac_hard_neither,mean_degree_overlap,mean_degree_nonoverlap,spearman_degree_vs_strict_correct,note,error,secs
0.1,1.0,combined,4,300,26,0.8657,0.97,0.9967,0.6538,0.9615,1.0,0.6538,0.3077,0.0385,23.077,16.139,-0.2792,,,0.12
0.1,1.0,edge_only,4,300,26,0.8569,0.9933,1.0,0.9231,1.0,1.0,0.9231,0.0769,0.0,23.077,16.139,-0.1181,,,0.11
0.1,1.0,content_only,4,300,26,0.8593,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.346,14.953,,,,0.12
0.4,0.0,combined,0,300,101,0.6477,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.04,15.704,,,,0.14
0.1,1.0,combined,3,300,26,0.8695,0.98,1.0,0.7692,1.0,1.0,0.7692,0.2308,0.0,23.538,16.394,-0.2021,,,0.16
0.1,1.0,edge_only,3,300,26,0.8637,0.99,1.0,0.8846,1.0,1.0,0.8846,0.1154,0.0,23.538,16.394,-0.1356,,,0.16
0.1,1.0,content_only,3,300,26,0.8584,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.923,15.285,,,,0.17
0.4,0.0,combined,1,300,92,0.6564,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.478,15.163,,,,0.16
0.4,0.0,combined,2,300,91,0.6336,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.89,15.172,,,,0.16
0.4,0.0,combined,3,300,97,0.6412,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.278,15.369,,,,0.11
0.4,0.0,combined,4,300,95,0.6392,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,14.884,15.161,0.0892,,,0.16
0.4,0.3,combined,1,300,92,0.658,0.9967,1.0,0.9891,1.0,1.0,0.9891,0.0109,0.0,18.033,16.341,0.0147,,,0.14
0.4,0.3,edge_only,1,300,92,0.6448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.033,16.341,,,,0.11
0.4,0.3,content_only,1,300,92,0.6564,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.478,15.163,,,,0.14
0.4,0.3,combined,0,300,101,0.6578,0.9933,1.0,0.9802,1.0,1.0,0.9802,0.0198,0.0,17.564,16.935,-0.0667,,,0.14
0.4,0.3,edge_only,0,300,101,0.6557,0.9933,1.0,0.9802,1.0,1.0,0.9802,0.0198,0.0,17.564,16.935,-0.0667,,,0.12
0.4,0.3,content_only,0,300,101,0.6504,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.04,15.704,,,,0.14
0.4,0.3,combined,2,300,91,0.617,0.99,0.9933,0.978,0.989,0.9952,0.978,0.011,0.011,18.0,16.44,0.0737,,,0.14
0.4,0.3,edge_only,2,300,91,0.6146,0.99,0.9933,0.978,0.989,0.9952,0.978,0.011,0.011,18.0,16.44,0.0737,,,0.17
0.4,0.3,content_only,2,300,91,0.6362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.89,15.172,,,,0.16
0.4,0.3,combined,3,300,97,0.6296,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.557,16.65,,,,0.16
0.4,0.3,edge_only,3,300,97,0.623,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.557,16.65,,,,0.16
0.4,0.3,content_only,3,300,97,0.6362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.278,15.369,,,,0.14
0.4,0.3,combined,4,300,95,0.6572,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,17.937,16.4,0.0952,,,0.12
0.4,0.3,edge_only,4,300,95,0.6468,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,17.937,16.4,0.0952,,,0.16
0.4,0.3,content_only,4,300,95,0.6392,0.9967,0.9967,1.0,1.0,0.9951,1.0,0.0,0.0,14.884,15.161,0.0892,,,0.11
0.4,0.5,combined,0,300,101,0.6507,0.98,1.0,0.9406,1.0,1.0,0.9406,0.0594,0.0,19.723,17.899,-0.1002,,,0.12
0.4,0.5,edge_only,0,300,101,0.6589,0.9867,1.0,0.9604,1.0,1.0,0.9604,0.0396,0.0,19.723,17.899,-0.0924,,,0.12
0.4,0.5,content_only,0,300,101,0.6454,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.04,15.704,,,,0.16
0.4,0.5,combined,2,300,91,0.643,0.9867,0.9933,0.967,0.989,0.9952,0.967,0.022,0.011,19.692,17.215,0.0061,,,0.11
0.4,0.5,edge_only,2,300,91,0.6264,0.9933,0.9933,0.989,0.989,0.9952,0.989,0.0,0.011,19.692,17.215,0.0277,,,0.14
0.4,0.5,content_only,2,300,91,0.6353,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.89,15.172,,,,0.11
0.4,0.5,combined,1,300,92,0.6635,0.9933,0.9967,0.9891,1.0,0.9952,0.9891,0.0109,0.0,20.0,17.154,0.0111,,,0.16
0.4,0.5,edge_only,1,300,92,0.6435,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,17.154,,,,0.12
