dataset,mode,p,method,mask_seed,seed,k_used,onmi,modularity,f1,frac_nocontent,frac_no_text,frac_no_image,mean_conf,mean_alpha,fl_both,fl_text,fl_image,fl_none,fl_unaligned,error,secs
crisismmd,image,0.10,nfmcd_all_changes,4,1,7,0.6938052397994726,0.4485698062543801,0.7211125628645082,0.0,0.0,0.085,0.455625,0.35503124999999996,0.915,0.085,0.0,0.0,0.0,,0.33
crisismmd,image,0.10,nfmcd_full,4,1,7,0.6199694236729165,0.5137950829126594,0.7539575962708035,0.0,0.0,0.085,0.5927107455338897,0.5648975218737228,0.915,0.085,0.0,0.0,0.0,,0.72
crisismmd,image,0.10,nfmcd_full,4,0,7,0.6117297683923641,0.5151393456727487,0.7523121681835441,0.0,0.0,0.085,0.5935615456812343,0.565493081976864,0.915,0.085,0.0,0.0,0.0,,0.78
crisismmd,image,0.10,spectral_graph+content,4,0,7,0.8842020116520533,0.5196487194695444,0.9573028562603486,0.0,0.0,0.085,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,spectral_graph+content,4,1,7,0.8842020116520533,0.5196487194695444,0.9573028562603486,0.0,0.0,0.085,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,nfmcd_rank16,4,0,7,0.70311592613941,0.4450636823093456,0.6949986156646305,0.0,0.0,0.085,0.4105612360161385,0.43739286521129694,0.915,0.085,0.0,0.0,0.0,,0.3
crisismmd,image,0.10,nfmcd_rank16,4,1,7,0.759513183511075,0.39127453354843655,0.6471443042766108,0.0,0.0,0.085,0.4114370928276952,0.43800596497938654,0.915,0.085,0.0,0.0,0.0,,0.27
crisismmd,image,0.10,kmeans_content,4,0,7,0.33236493749872953,0.15099489710643582,0.5280590729141242,0.0,0.0,0.085,nan,nan,nan,nan,nan,nan,nan,,0.23
crisismmd,image,0.10,kmeans_content,4,1,7,0.35243443693174115,0.17452248674929935,0.5129882480958141,0.0,0.0,0.085,nan,nan,nan,nan,nan,nan,nan,,0.27
crisismmd,image,0.20,nfmcd_all_changes,0,0,7,0.724253984136281,0.38524442877325593,0.6364366397149205,0.0,0.0,0.185,0.40625,0.3328125,0.815,0.185,0.0,0.0,0.0,,0.27
crisismmd,image,0.20,nfmcd_all_changes,0,1,7,0.7232984644869855,0.3919359337530443,0.6370068242690454,0.0,0.0,0.185,0.40625,0.3328125,0.815,0.185,0.0,0.0,0.0,,0.27
crisismmd,image,0.20,nfmcd_full,0,0,7,0.495249814170449,0.5250604742526886,0.6217129083461898,0.0,0.0,0.185,0.5263070463599205,0.5184149324519443,0.815,0.185,0.0,0.0,0.0,,0.58
crisismmd,image,0.20,nfmcd_full,0,1,7,0.5321064629657377,0.5226620042463659,0.6413740076332605,0.0,0.0,0.185,0.5260467240964617,0.5182327068675232,0.815,0.185,0.0,0.0,0.0,,0.62
crisismmd,image,0.20,spectral_graph+content,0,0,7,0.8936502350739111,0.5172323641708267,0.9647389008812469,0.0,0.0,0.185,nan,nan,nan,nan,nan,nan,nan,,0.11
crisismmd,image,0.20,nfmcd_rank16,0,0,7,0.7209974680162414,0.42949082225111107,0.6409357595093104,0.0,0.0,0.185,0.3625876163016602,0.4038113314111621,0.815,0.185,0.0,0.0,0.0,,0.25
crisismmd,image,0.20,spectral_graph+content,0,1,7,0.8885609685659879,0.5170898466303754,0.9622407467766988,0.0,0.0,0.185,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.20,nfmcd_rank16,0,1,7,0.6950531086636741,0.45111755046717006,0.6916545389179488,0.0,0.0,0.185,0.361647604107999,0.40315332287559924,0.815,0.185,0.0,0.0,0.0,,0.28
crisismmd,image,0.20,kmeans_content,0,1,7,0.26613179053816993,0.121976439024478,0.4848561212886359,0.0,0.0,0.185,nan,nan,nan,nan,nan,nan,nan,,0.27
crisismmd,image,0.20,kmeans_content,0,0,7,0.27375322013477954,0.1297999470427997,0.4874267867142268,0.0,0.0,0.185,nan,nan,nan,nan,nan,nan,nan,,0.3
crisismmd,image,0.20,nfmcd_all_changes,1,0,7,0.6859837197579914,0.4428811745938815,0.7179087914554609,0.0,0.0,0.2025,0.3975,0.32887500000000003,0.7975,0.2025,0.0,0.0,0.0,,0.25
crisismmd,image,0.20,nfmcd_all_changes,1,1,7,0.6825066093354123,0.45746572058838975,0.7245256672730267,0.0,0.0,0.2025,0.3975,0.32887499999999986,0.7975,0.2025,0.0,0.0,0.0,,0.25
crisismmd,image,0.20,nfmcd_full,1,0,7,0.6320502450369178,0.514597473609362,0.7470018208019231,0.0,0.0,0.2025,0.5129591392341207,0.5090713974638845,0.7975,0.2025,0.0,0.0,0.0,,0.58
crisismmd,image,0.20,nfmcd_full,1,1,7,0.6319764127997813,0.5142095614898654,0.7478491594970987,0.0,0.0,0.2025,0.511478161461224,0.5080347130228569,0.7975,0.2025,0.0,0.0,0.0,,0.56
