part,dataset,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,note,error,secs
A,r0.2,nfmcd_robust,3,300,0.1767,53,0.5549614238790009,0.19166318931762905,0.05,0.16822429906542055,0.16666666666666666,0.16981132075471697,0.0,0.0,0.0,0.2264,53,,,0.11
A,r0.2,demon,3,300,0.1767,53,,,,0.2769,0.1739,0.6792,,,,,,"single fixed operating point, not threshold-based",,0.14
A,r0.2,slpa,3,300,0.1767,53,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.31
A,r0.2,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),3,300,0.1767,53,,,,0.3003,0.1767,1.0,,,,,,single fixed operating point,,0.0
A,r0.2,always_no_overlap,3,300,0.1767,53,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.3,nfmcd_default,2,300,0.2167,65,0.5573158756137481,0.2586691351565581,0.05,0.36363636363636365,0.24120603015075376,0.7384615384615385,0.028985507246376812,0.25,0.015384615384615385,0.2154,65,,,0.12
A,r0.3,nfmcd_robust,2,300,0.2167,65,0.5186906710310966,0.24774124907732703,0.05,0.20634920634920634,0.21311475409836064,0.2,0.0,0.0,0.0,0.2923,65,,,0.12
A,r0.3,demon,2,300,0.2167,65,,,,0.3556,0.2169,0.9846,,,,,,"single fixed operating point, not threshold-based",,0.22
A,r0.3,slpa,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.3
A,r0.3,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),2,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,single fixed operating point,,0.0
A,r0.3,always_no_overlap,2,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.3,nfmcd_default,3,300,0.2167,65,0.5362356792144026,0.3043826507893249,0.05,0.34328358208955223,0.22660098522167488,0.7076923076923077,0.05882352941176471,0.6666666666666666,0.03076923076923077,0.3231,65,,,0.17
A,r0.3,nfmcd_robust,3,300,0.2167,65,0.49905073649754506,0.28887356828781696,0.05,0.22608695652173913,0.26,0.2,0.0,0.0,0.0,0.2462,65,,,0.11
A,r0.3,demon,3,300,0.2167,65,,,,0.3088,0.2029,0.6462,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.3,slpa,3,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.19
A,r0.3,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),3,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,single fixed operating point,,0.0
A,r0.3,always_no_overlap,3,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.3,nfmcd_default,4,300,0.2167,65,0.5530605564648118,0.2524184078758564,0.05,0.34061135371179035,0.23780487804878048,0.6,0.028985507246376812,0.25,0.015384615384615385,0.2308,65,,,0.14
A,r0.3,nfmcd_robust,4,300,0.2167,65,0.5202618657937808,0.2371847451536671,0.05,0.16216216216216217,0.1956521739130435,0.13846153846153847,0.030303030303030307,1.0,0.015384615384615385,0.2,65,,,0.11
A,r0.3,demon,4,300,0.2167,65,,,,0.3601,0.2196,1.0,,,,,,"single fixed operating point, not threshold-based",,0.14
A,r0.3,slpa,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.17
A,r0.3,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),4,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,single fixed operating point,,0.0
A,r0.3,always_no_overlap,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.4,nfmcd_default,1,300,0.3067,92,0.4905413879598662,0.29931770548092873,0.05,0.4056939501779359,0.30158730158730157,0.6195652173913043,0.0,0.0,0.0,0.3152,92,,,0.12
A,r0.4,nfmcd_robust,1,300,0.3067,92,0.4909594481605351,0.31009307644324113,0.05,0.2517482517482518,0.35294117647058826,0.1956521739130435,0.0,0.0,0.0,0.3478,92,,,0.11
A,r0.4,demon,1,300,0.3067,92,,,,0.473,0.3098,1.0,,,,,,"single fixed operating point, not threshold-based",,0.16
A,r0.4,slpa,1,300,0.3067,92,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.25
A,r0.4,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),1,300,0.3067,92,,,,0.4694,0.3067,1.0,,,,,,single fixed operating point,,0.0
A,r0.4,always_no_overlap,1,300,0.3067,92,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.4,nfmcd_default,2,300,0.3033,91,0.46690151953309844,0.2851874063247993,0.05,0.4166666666666667,0.30456852791878175,0.6593406593406593,0.040816326530612256,0.2857142857142857,0.02197802197802198,0.1978,91,,,0.14
A,r0.4,nfmcd_robust,2,300,0.3033,91,0.46548188653451805,0.2876106940910544,0.05,0.15602836879432624,0.22,0.12087912087912088,0.0,0.0,0.0,0.1758,91,,,0.11
A,r0.4,demon,2,300,0.3033,91,,,,0.4611,0.3017,0.978,,,,,,"single fixed operating point, not threshold-based",,0.2
