dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.276771210290888,0.6231876049203114,0.6586484981649241,,4.8
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.2919382002227973,0.40157271879966516,0.48635135726470236,,4.58
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.4626640860525637,0.0,0.0,,1.33
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.6570760878192159,0.0,0.036246612466124664,,4.75
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7788480378917624,0.7244561212777838,0.7399602836033007,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7752487300038942,0.7570625552416503,0.7888455554912233,,0.08
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7669655557356092,0.6835270660076851,0.7257428979764406,,0.11
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7816008756443754,0.6046358914804084,0.6853882301979916,,0.03
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.8034383165030718,0.6673058372829244,0.8147477482661138,,0.06
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7050233034390226,0.5226865456261025,0.542702346743295,,0.11
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.37109668041211513,0.18900333445577155,0.043359375000000006,,5.0
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3698755944234757,0.0,0.0,,5.19
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3719943089841449,0.0,0.0,,4.67
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.6540630593922427,0.0,0.03504968383017164,,5.66
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4494399727959473,0.0,0.0,,1.47
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.37866914681632796,0.0,0.0,,1.5
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4647993389428583,0.0,0.0,,1.44
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7162238834726303,0.0,0.04615519836027467,,8.2
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.49376165623328366,0.0,0.0,,3.23
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7788480378917624,0.7375850257844323,0.7445899132329303,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7806658737244876,0.6618428956804925,0.6694425704165964,,0.09
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7669655557356092,0.6835270660076851,0.7257428979764406,,0.06
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7889040322011157,0.6058089122670833,0.6846444683964448,,0.06
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.7885749593955229,0.7134406405190321,0.8346959576568145,,0.06
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.707269613727844,0.5320303754368098,0.5449743544908784,,0.05
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4954499199092669,0.0,0.0,,3.27
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.4957474756445393,0.0,0.0,,4.56
crisismmd,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.46899673466857045,0.46983467603216167,0.1342426417803302,,1.53
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.3750100724098048,0.0,0.0,,4.55
crisismmd,1,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.46672735254455,0.4607400187914148,0.13309222423146475,,1.58
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.3698755944234757,0.0,0.0,,4.39
crisismmd,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.521436788502673,0.5383069352167476,0.2706055229445283,,1.33
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 2.0, ""sd"": 1.0}",2.0,0.15,0.85,1.0,8,default,0.37186520950061347,0.0,0.0,,3.53
pheme,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.874291627044202,0.012784573613956018,0.23715484591357722,,3.26
pheme,2,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.8801347542443367,0.0,0.23699306384692984,,4.31
crisismmd,0,A,alpha,"{""alpha"": [0.25, 0.75], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.25,0.75,1.0,8,default,0.5261484439105307,0.6514515993606711,0.4199402279641174,,1.62
fakeddit,0,A,alpha,"{""alpha"": [0.05, 0.95], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.05,0.95,1.0,8,default,0.2656421092211253,0.32943899536615684,0.08083209509658248,,4.75
