method,dataset,seed,k_used,modularity,onmi,f1,note,error,secs
var:agree_a50,crisismmd@r0.25,1,7,0.22925352558270345,0.08951236352799585,0.36268266531501,homophily=0.500 edges=4979,,0.81
var:agree_a50,crisismmd@r0.25,2,7,0.22012163226984063,0.12198694448834035,0.3421115195624999,homophily=0.503 edges=4946,,0.8
var:agree_a50,crisismmd@r0.5,0,7,0.212128065871671,0.0,0.1883923690566633,homophily=0.334 edges=4898,,0.86
var:agree_a50,crisismmd@r0.5,1,7,0.19714698288774246,0.0,0.18056056526555947,homophily=0.330 edges=4908,,0.84
var:agree_a50,crisismmd@r0.5,2,7,0.2143327249568665,0.0,0.17705668765430352,homophily=0.337 edges=4959,,0.77
var:agree_a50,crisismmd@r1.0,0,7,0.1884984743009418,0.0,0.16445423358503922,homophily=0.198 edges=4881,,0.83
var:agree_a50,crisismmd@r1.0,2,7,0.19806486007193133,0.0,0.1517755847691511,homophily=0.205 edges=4982,,0.78
var:agree_a50,crisismmd@r1.0,1,7,0.2002941158750314,0.0,0.15931849182259666,homophily=0.201 edges=4973,,0.88
var:agree_a50,fakeddit@r0.02,0,10,0.3390347574708511,0.8111406875261237,0.7505392848007452,homophily=0.916 edges=12551,,2.44
var:agree_a50,fakeddit@r0.02,2,10,0.40470511962212863,0.7720387126102448,0.6980951613864456,homophily=0.913 edges=12513,,2.33
var:agree_a50,fakeddit@r0.1,0,10,0.2666955666892927,0.40340653344206023,0.2774580220548492,homophily=0.684 edges=12623,,2.34
var:agree_a50,fakeddit@r0.02,1,10,0.4001666219346619,0.7697237668765864,0.6451964391621131,homophily=0.915 edges=12522,,2.75
var:agree_a50,fakeddit@r0.1,1,10,0.2789755363455797,0.292774527566776,0.27444877981349103,homophily=0.682 edges=12442,,2.42
var:agree_a50,fakeddit@r0.1,2,10,0.2890388797066505,0.26714458506694316,0.2628934263877908,homophily=0.679 edges=12516,,2.41
var:agree_a50,fakeddit@r0.25,0,10,0.20270722105128283,0.14580324774656783,0.1405449561555447,homophily=0.467 edges=12589,,2.34
var:agree_a50,fakeddit@r0.25,1,10,0.19275892751014306,0.15738006303107444,0.1367630739688883,homophily=0.461 edges=12519,,2.38
var:agree_a50,fakeddit@r0.25,2,10,0.19721099581717488,0.19847161182825912,0.13514694153232767,homophily=0.460 edges=12618,,2.19
var:agree_a50,fakeddit@r0.5,1,10,0.12465527242302515,0.004773781790519127,0.16329954776015462,homophily=0.301 edges=12578,,2.36
var:agree_a50,fakeddit@r0.5,0,10,0.13752076633784363,0.009021802105210863,0.16604421389890076,homophily=0.306 edges=12621,,2.42
var:agree_a50,fakeddit@r0.5,2,10,0.13262858843928751,0.007429630806600418,0.1625730359333628,homophily=0.291 edges=12618,,2.28
var:default_rank16,fakeddit_real_full,0,9,0.6118261993574845,0.05153881867684773,0.11906176114163368,homophily=0.887 edges=13108,,0.77
var:default_rank16,fakeddit_real_full,1,9,0.5699528285656524,0.031199333661888318,0.13830978901825963,homophily=0.887 edges=13108,,0.69
var:agree_a50,fakeddit@r1.0,0,10,0.14351807234809819,0.0,0.12266540732417804,homophily=0.182 edges=12562,,2.05
var:default_rank16,fakeddit_real_lcc,0,6,0.710563312056517,0.1880881135198592,0.3417758182328543,homophily=0.907 edges=9261,,0.22
var:agree_a50,fakeddit@r1.0,1,10,0.14416092778087947,0.0,0.12958201811666165,homophily=0.178 edges=12585,,2.02
var:default_rank16,fakeddit_real_lcc,1,6,0.7118681221458063,0.1889974945199202,0.33923264535351677,homophily=0.907 edges=9261,,0.2
var:agree_a50,fakeddit@r1.0,2,10,0.13193975415689652,0.0,0.12094176139214548,homophily=0.173 edges=12631,,2.02
var:default_rank16,fakeddit_real_full,2,9,0.5389598334914681,0.04212405726899626,0.11229328895316455,homophily=0.887 edges=13108,,0.66
var:default_rank16,fakeddit_real_lcc,2,6,0.7102318350156002,0.18717669035217765,0.3396705144429642,homophily=0.907 edges=9261,,0.2
var:default_rank16,crisismmd@r0.02,0,7,0.4621606822927462,0.7372189455378002,0.6495331026744668,homophily=0.927 edges=4884,,0.27
var:default_rank16,crisismmd@r0.02,1,7,0.4684732539349321,0.6448948095009654,0.6601530873748379,homophily=0.922 edges=4926,,0.28
var:default_rank16,crisismmd@r0.02,2,7,0.5665596626405665,0.7084571866903674,0.7387611211787981,homophily=0.928 edges=4900,,0.28
var:default_rank16,crisismmd@r0.1,0,7,0.46160535599115,0.533271389962406,0.6487701541268301,homophily=0.724 edges=4908,,0.28
var:default_rank16,crisismmd@r0.1,1,7,0.35597190207481916,0.6942100420241247,0.666664632406041,homophily=0.715 edges=4924,,0.3
var:default_rank16,crisismmd@r0.1,2,7,0.44974321159093184,0.6022867995633027,0.7394948145618835,homophily=0.717 edges=4921,,0.3
var:default_rank16,crisismmd@r0.25,0,7,0.2500893966250661,0.23956620811153395,0.338742504200327,homophily=0.506 edges=4943,,0.25
var:default_rank16,crisismmd@r0.25,1,7,0.18759285080890653,0.1466011646937515,0.3558445137082717,homophily=0.500 edges=4979,,0.27
var:default_rank16,crisismmd@r0.25,2,7,0.24378551191525982,0.21549200586310202,0.3221049818004279,homophily=0.503 edges=4946,,0.28
var:default_rank16,crisismmd@r0.5,0,7,0.20325007865644945,0.0,0.2252015533344021,homophily=0.334 edges=4898,,0.27
var:default_rank16,crisismmd@r0.5,1,7,0.19483025152620775,0.0,0.18526079231393652,homophily=0.330 edges=4908,,0.3
var:default_rank16,crisismmd@r0.5,2,7,0.19459603025917585,0.0,0.20670884160324438,homophily=0.337 edges=4959,,0.28
var:default_rank16,crisismmd@r1.0,0,7,0.19627274597413943,0.0,0.17367077755869711,homophily=0.198 edges=4881,,0.31
var:default_rank16,crisismmd@r1.0,1,7,0.1971354948736044,0.0,0.16712570859502746,homophily=0.201 edges=4973,,0.31
var:default_rank16,crisismmd@r1.0,2,7,0.1933224965153557,0.0,0.17881113985508829,homophily=0.205 edges=4982,,0.28
var:default_rank16,fakeddit@r0.02,1,10,0.33940573487005304,0.7244249972279928,0.6644071736432551,homophily=0.915 edges=12522,,0.58
var:default_rank16,fakeddit@r0.02,2,10,0.34217085852227314,0.8139465080701189,0.7725753069962983,homophily=0.913 edges=12513,,0.73
var:default_rank16,fakeddit@r0.02,0,10,0.34598467287012136,0.8037620544050814,0.772368885654588,homophily=0.916 edges=12551,,0.95
var:default_rank16,fakeddit@r0.1,0,10,0.2891858051652513,0.35381893980383494,0.23143347085858057,homophily=0.684 edges=12623,,0.73
var:default_rank16,fakeddit@r0.1,1,10,0.29838966871546796,0.4202346287980636,0.21451923997477912,homophily=0.682 edges=12442,,0.72
var:default_rank16,fakeddit@r0.25,1,10,0.19852809590912354,0.18097652551542165,0.13711079529680834,homophily=0.461 edges=12519,,0.56
