condition,severity,method,seed,k,n,avg_degree,onmi,modularity,f1,mean_umax,collapsed,wall_fit_s,peak_rss_mb,success,error
missing,0.4,nfmcd_robust,2,32,8000,18.08425,0.3455784243147746,0.11382367340590151,0.48686618538261095,0.34852637037822043,False,4.360000000000582,482.435072,True,
missing,0.8,nfmcd_robust,0,32,8000,17.92875,0.0,0.14853243432828986,0.0908772171851654,0.03126036855156539,True,2.077999999994063,418.816,True,
missing,0.8,nfmcd_robust,1,32,8000,17.86025,0.0,0.15305094764045063,0.09067994830149112,0.03126148450348612,True,2.0940000000045984,435.216384,True,
missing,0.8,nfmcd_robust,2,32,8000,18.08425,0.0,0.14577265104855494,0.09739311907813829,0.03125779819697707,True,2.0789999999979045,435.798016,True,
missing,0.0,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9539999999979045,313.856,True,
missing,0.0,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.875,312.889344,True,
missing,0.0,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.5159999999959837,312.303616,True,
missing,0.4,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9689999999973224,311.84896,True,
missing,0.4,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.813000000001921,312.2176,True,
missing,0.4,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.389999999999418,311.967744,True,
missing,0.8,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9369999999980791,313.102336,True,
missing,0.8,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.7969999999986612,312.315904,True,
missing,0.8,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.3590000000040163,311.574528,True,
missing,0.0,spectral_graph_content,0,32,8000,17.92875,0.7501617195683142,0.15782808381046956,0.8699502477642437,,,10.140999999995984,3928.973312,True,
missing,0.0,spectral_graph_content,1,32,8000,17.86025,0.7616972263336746,0.15880814298816479,0.8768706937065895,,,9.953000000001339,3929.677824,True,
missing,0.0,spectral_graph_content,2,32,8000,18.08425,0.7739205371608098,0.1611999781328802,0.8840520250968137,,,9.969000000004598,3930.128384,True,
missing,0.4,spectral_graph_content,0,32,8000,17.92875,0.6036142678924432,0.10486451778344437,0.7620518584749936,,,10.156000000002678,3930.722304,True,
missing,0.4,spectral_graph_content,1,32,8000,17.86025,0.603368664629806,0.10670722155223197,0.755414413356331,,,10.264999999999418,3930.226688,True,
missing,0.4,spectral_graph_content,2,32,8000,18.08425,0.5959255511640971,0.1046583526271719,0.7569840178294394,,,10.235000000000582,3929.624576,True,
missing,0.8,spectral_graph_content,0,32,8000,17.92875,0.0010927072026452045,0.017348983528709668,0.4199237730288947,,,10.906000000002678,3929.534464,True,
missing,0.8,spectral_graph_content,1,32,8000,17.86025,0.0014454458208729148,0.019619195531964152,0.42557160824645834,,,11.171999999998661,3930.390528,True,
missing,0.8,spectral_graph_content,2,32,8000,18.08425,0.0012105236508210826,0.01713405023404541,0.42212894118627897,,,11.23399999999674,3929.485312,True,
