rate,blend,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,primary_onmi,primary_modularity,primary_f1,note,error,secs
0.3,0.0,slpa,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.22
0.3,0.0,always_overlap,4,300,0.2167,65,,,,0.3562,0.2167,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.0,always_no_overlap,4,300,0.2167,65,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,nfmcd_default,0,300,0.2633,79,0.6572541382667966,0.4170048536717745,0.05,0.44128113879003555,0.3069306930693069,0.7848101265822784,0.07142857142857144,0.6,0.0379746835443038,0.6835,79,0.6983,0.4396,0.8868,,,0.16
0.3,0.3,nfmcd_robust,0,300,0.2633,79,0.6197949481642706,0.35375489212095995,0.05,0.3194444444444444,0.35384615384615387,0.2911392405063291,0.0,0.0,0.0,0.7215,79,0.6891,0.4396,0.8819,,,0.16
0.3,0.3,demon,0,300,0.2633,79,,,,0.4191,0.2651,1.0,,,,,,,,,single fixed operating point,,0.23
0.3,0.3,slpa,0,300,0.2633,79,,,,0.3301,0.2677,0.4304,,,,,,,,,single fixed operating point,,0.27
0.3,0.3,always_overlap,0,300,0.2633,79,,,,0.4169,0.2633,1.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,always_no_overlap,0,300,0.2633,79,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.3,0.3,nfmcd_default,1,300,0.2133,64,0.6195709745762712,0.3053172875153934,0.05,0.38827838827838823,0.2535885167464115,0.828125,0.1111111111111111,0.5,0.0625,0.4844,64,0.7243,0.4563,0.905,,,0.14
0.3,0.3,nfmcd_robust,1,300,0.2133,64,0.5671345338983051,0.2460625551538379,0.05,0.2,0.19696969696969696,0.203125,0.0,0.0,0.0,0.6562,64,0.725,0.4563,0.9014,,,0.2
0.3,0.3,demon,1,300,0.2133,64,,,,0.3546,0.2155,1.0,,,,,,,,,single fixed operating point,,0.17
