part,dataset,variant,k,seed,k_true,onmi,modularity,f1,error,secs
A,fakeddit,default,10,1,10,0.3641407378164382,0.3173147611930934,0.19635999725760228,,3.38
A,fakeddit,robust,11,0,10,0.8232772600491746,0.29826905657412595,0.8487099140683236,,0.89
A,fakeddit,robust,11,1,10,0.8187650556079541,0.29486230941740904,0.8482037457725828,,0.91
A,fakeddit,robust,11,2,10,0.8239978090863753,0.2959845585410815,0.850036915439284,,0.83
A,fakeddit,default,11,0,10,0.30287620109798286,0.31228765004673553,0.19293594813842335,,3.3
A,fakeddit,default,11,1,10,0.2967631539135567,0.2847002870970444,0.25993029402079937,,3.23
A,fakeddit,default,11,2,10,0.24417640655976824,0.2807448981910535,0.2821026728949486,,3.03
A,fakeddit,robust,12,1,10,0.7787149364543413,0.27874203266730707,0.8385684810440232,,0.92
A,fakeddit,robust,12,0,10,0.8573720830400312,0.2955567825242612,0.9327064404129823,,1.06
A,fakeddit,robust,12,2,10,0.8540770956160348,0.2955297051092085,0.9303194824182753,,1.0
A,fakeddit,default,12,0,10,0.31128610247865107,0.29858857389399174,0.18521908642521012,,3.09
A,fakeddit,default,12,1,10,0.26443212355885914,0.2980334566259785,0.1894004790796411,,2.99
A,fakeddit,robust,13,0,10,0.7845003753544711,0.2765173623118222,0.8935231968170904,,0.81
A,fakeddit,default,12,2,10,0.27323523009617,0.303761866770314,0.19327503736335744,,3.28
A,fakeddit,robust,13,1,10,0.8519418142921387,0.29435894215084984,0.9366575366266463,,0.89
A,fakeddit,robust,13,2,10,0.784650907988963,0.27733405167741704,0.8927811653359445,,0.75
A,fakeddit,default,13,2,10,0.21889202470545155,0.29091330684445893,0.1893749656029021,,2.86
A,fakeddit,default,13,1,10,0.21729522726272155,0.28178052252002267,0.18497864274511028,,3.44
A,fakeddit,default,13,0,10,0.21058423954928784,0.2837412255048852,0.18596906793727994,,3.5
A,fakeddit,robust,14,0,10,0.7417555086488778,0.2907742790815817,0.7843138150113967,,1.11
A,fakeddit,robust,14,2,10,0.7494254785461225,0.28815500023344354,0.7925107628529077,,0.97
A,fakeddit,robust,14,1,10,0.6214472368624644,0.28848795274172156,0.699829649300236,,1.0
A,fakeddit,default,14,0,10,0.16676984710931442,0.27256581157606286,0.17811283795520377,,2.97
A,fakeddit,default,14,1,10,0.20379178686098354,0.272921331251221,0.17559619231188944,,3.05
A,fakeddit,default,14,2,10,0.1436911709589217,0.2748379765011101,0.19031746692139395,,3.06
A,fakeddit,robust,15,0,10,0.6883603570609214,0.28415023430261477,0.7708308995065687,,0.84
A,fakeddit,robust,15,1,10,0.6775634827738225,0.28596800765029823,0.7677678946552182,,0.97
A,fakeddit,robust,15,2,10,0.7283298340245681,0.26609641798319783,0.7814451553680842,,0.88
A,fakeddit,default,15,0,10,0.12870282709725,0.27152068578501837,0.17253957910986442,,3.42
A,fakeddit,default,15,1,10,0.16722854897126482,0.25471199418514345,0.15415718394753836,,3.17
A,fakeddit,default,15,2,10,0.1710151911432637,0.2783519121264017,0.17303868963657232,,3.39
A,fakeddit,robust,16,1,10,0.7623734643016592,0.2559574979439034,0.8819285228966385,,0.97
A,fakeddit,robust,16,0,10,0.7437907090497228,0.26155399607000673,0.8872804345945721,,1.12
A,fakeddit,robust,16,2,10,0.7854932181213954,0.2648854641269289,0.8961324525710422,,1.03
A,fakeddit,default,16,0,10,0.15104836591441995,0.275355989333416,0.16645706449652442,,3.58
A,fakeddit,default,16,2,10,0.17154044647888922,0.29025601143299495,0.1709088311390417,,3.06
A,fakeddit,default,16,1,10,0.16611557274634037,0.27805169076940955,0.1682800488869298,,3.19
A,fakeddit,robust,17,0,10,0.7574625656576769,0.24725033325351,0.8799416465033577,,1.06
A,fakeddit,robust,17,1,10,0.7640601597341758,0.2547675664308115,0.8849822218192877,,0.91
A,fakeddit,robust,17,2,10,0.7438810470215526,0.23989838665683594,0.8721349657478934,,0.94
A,fakeddit_real_lcc,default,2,0,6,0.08550088571056702,0.3771194455675569,0.5527497626196525,,0.67
A,fakeddit_real_lcc,default,2,1,6,0.08239016181786252,0.3771194455675569,0.5497257689985121,,0.59
A,fakeddit_real_lcc,default,2,2,6,0.08125830055470273,0.3771194455675569,0.5484351347027187,,0.75
A,fakeddit_real_lcc,robust,2,0,6,0.08708187708000881,0.3771194455675569,0.5560989605748791,,0.34
A,fakeddit,default,17,2,10,0.16642241818199233,0.26783059884992116,0.1621052239656456,,2.66
A,fakeddit_real_lcc,robust,2,1,6,0.08708187708000881,0.3771194455675569,0.5560989605748791,,0.41
A,fakeddit_real_lcc,robust,2,2,6,0.08708187708000881,0.3771194455675569,0.5560989605748791,,0.3
A,fakeddit,default,17,0,10,0.12141677878575174,0.2565815653123336,0.15614314116176264,,3.17
A,fakeddit,default,17,1,10,0.1443995736947261,0.2607767745611249,0.16106437473004526,,3.25
A,fakeddit_real_lcc,robust,3,1,6,0.0633250922676365,0.6275863344688284,0.38981546476983797,,0.34
A,fakeddit_real_lcc,default,3,0,6,0.05933921066201964,0.5139424283861457,0.38939076946437834,,0.66
A,fakeddit_real_lcc,robust,3,0,6,0.06309901554459363,0.6293124006389422,0.39022049656655233,,0.41
A,fakeddit_real_lcc,default,3,1,6,0.060552996998030295,0.4789704841612226,0.3927382720862149,,0.64
A,fakeddit_real_lcc,default,3,2,6,0.05855601817975209,0.4728165390620849,0.3896095367654194,,0.62
A,fakeddit_real_lcc,robust,3,2,6,0.0629519538933172,0.6280777522863602,0.3898222122528268,,0.42
A,fakeddit_real_lcc,robust,4,0,6,0.10576837574941889,0.5781700037477502,0.33433470806058635,,0.31
A,fakeddit_real_lcc,robust,4,1,6,0.10855581918412027,0.5813763397320953,0.3372374597579796,,0.28
A,fakeddit_real_lcc,robust,4,2,6,0.10794204620428038,0.5810603583202743,0.3358343890510811,,0.26
A,fakeddit_real_lcc,default,4,0,6,0.08956364143519169,0.5433886475989744,0.32996151910421617,,0.64
A,fakeddit_real_lcc,default,4,2,6,0.09367422221399624,0.5188156579915745,0.33534720311997357,,0.64
A,fakeddit_real_lcc,default,4,1,6,0.09633048014571388,0.5000047571231536,0.33263748734451726,,0.69
A,fakeddit_real_lcc,default,5,0,6,0.13151758646165002,0.5942541286203209,0.2803863215838729,,0.49
A,fakeddit_real_lcc,robust,5,0,6,0.1396850464188829,0.6650615864975402,0.31078242481968515,,0.31
A,fakeddit_real_lcc,default,5,1,6,0.13253922749341118,0.565251686035795,0.2820339614162973,,0.59
A,fakeddit_real_lcc,robust,5,2,6,0.14222022939485623,0.6679519410700643,0.30872468556484617,,0.33
A,fakeddit_real_lcc,robust,5,1,6,0.14221630459275314,0.6650615864975402,0.3128876879775799,,0.41
A,fakeddit_real_lcc,default,5,2,6,0.13609271285185187,0.5742223027668466,0.27928254007396464,,0.56
A,fakeddit_real_lcc,robust,6,0,6,0.1954455469796429,0.7288552201165773,0.35139405265614915,,0.34
A,fakeddit_real_lcc,default,6,0,6,0.13624927109591334,0.5471847152793584,0.29870584349690205,,0.53
