dataset,scheme,p,method,seed,k_used,onmi,modularity,f1,frac_nocontent,mean_conf,mean_alpha,acc_overall,acc_affected,acc_background,n_affected,n_background,error,secs
crisismmd,by_community,0.60,spectral_graph+content,0,7,0.8134293246588186,0.5224918743246733,0.9221680933861001,0.3525,nan,nan,0.96,1.0,0.9456706281833617,211.0,589.0,,0.12
crisismmd,by_community,0.60,spectral_graph+content,2,7,0.7559968277507805,0.5045858726439161,0.8860204517549713,0.34875,nan,nan,0.9375,1.0,0.9151103565365025,211.0,589.0,,0.11
crisismmd,by_community,0.60,spectral_graph+content,1,7,0.7837327687961915,0.5075957058730823,0.9051463900347222,0.36375,nan,nan,0.94625,1.0,0.9269949066213922,211.0,589.0,,0.12
crisismmd,by_community,0.60,nfmcd_robust,1,7,0.6852429667631764,0.45669899588412355,0.7246691504393049,0.36375,0.13594570401232706,0.24516199280862888,0.81375,0.957345971563981,0.7623089983022071,211.0,589.0,,0.22
crisismmd,by_community,0.60,nfmcd_robust,0,7,0.629675852372774,0.5238017052820937,0.7306659283748969,0.3525,0.14285949559201377,0.2500016469144096,0.92125,0.976303317535545,0.9015280135823429,211.0,589.0,,0.23
crisismmd,by_community,0.60,nfmcd_robust,2,7,0.6794354657019435,0.4571281592277168,0.72305689151209,0.34875,0.10872090681048023,0.22610463476733614,0.815,0.95260663507109,0.765704584040747,211.0,589.0,,0.22
crisismmd,by_community,0.80,nfmcd_full,0,7,0.6021684695082765,0.5137379336508785,0.7455285690515092,0.40875,0.14041750802192746,0.24829225561534915,0.89875,0.957345971563981,0.8777589134125636,211.0,589.0,,0.16
crisismmd,by_community,0.80,nfmcd_full,1,7,0.5973634675336865,0.5112286794240609,0.7537705918205183,0.4425,0.14872969344745035,0.25411078541321525,0.8975,0.957345971563981,0.8760611205432938,211.0,589.0,,0.17
crisismmd,by_community,0.80,nfmcd_full,2,7,0.5999679146250229,0.5130775166143907,0.7549234925687897,0.41875,0.11662955698218017,0.23164068988752606,0.9025,0.957345971563981,0.8828522920203735,211.0,589.0,,0.17
crisismmd,by_community,0.60,kmeans_content,0,7,0.15628220251641844,0.19920887599158257,0.4168291590135155,0.3525,nan,nan,0.52125,1.0,0.34974533106960953,211.0,589.0,,0.28
crisismmd,by_community,0.60,kmeans_content,2,7,0.12143366410228351,0.1720165585593131,0.3409821301737304,0.34875,nan,nan,0.46125,1.0,0.26825127334465193,211.0,589.0,,0.3
